lemma	familyLemma	pos	meaningZh
humor	humorous	adjective	幽默的
humor	humorist	noun	幽默作家
humor	humorless	adjective	缺乏幽默感的
hunch	hunchback	noun	駝背者
hunger	hungry	adjective	飢餓的
hunger	hungrily	adverb	飢餓地
hydrogen	hydrogenate	verb	使氫化
hygiene	hygienic	adjective	衛生的
hygiene	hygienist	noun	衛生學家；口腔衛生師
hypertension	hypertensive	adjective	高血壓的
hypnotic	hypnosis	noun	催眠
hypnotic	hypnotize	verb	對……催眠
hypnotic	hypnotist	noun	催眠師
hypocritical	hypocrisy	noun	偽善
hypocritical	hypocrite	noun	偽君子
hypothesis	hypothetical	adjective	假設的
hypothesis	hypothesize	verb	提出假設
icon	iconic	adjective	標誌性的
icon	iconography	noun	圖像學
iconoclast	iconoclastic	adjective	反傳統的
iconoclast	iconoclasm	noun	破除偶像；反傳統
ideal	idealism	noun	理想主義
ideal	idealize	verb	把……理想化
ideal	ideally	adverb	理想上
identical	identically	adverb	完全相同地
identical	identity	noun	身分；同一性
identification	identify	verb	辨識
identification	identifiable	adjective	可辨識的
ideological	ideology	noun	意識形態
ideological	ideologically	adverb	意識形態上
ideology	ideological	adjective	意識形態的
ideology	ideologue	noun	思想理論家
idiot	idiotic	adjective	愚蠢的
idiot	idiocy	noun	愚蠢
ignominious	ignominy	noun	恥辱
ignominious	ignominiously	adverb	恥辱地
ignorance	ignorant	adjective	無知的
ignorance	ignore	verb	忽視
illegal	illegally	adverb	非法地
illegal	illegality	noun	違法
illegal	legal	adjective	合法的
illegitimate	illegitimacy	noun	不合法
illegitimate	legitimate	adjective	合法的
illicit	illicitly	adverb	非法地
illiterate	illiteracy	noun	文盲；不識字
illiterate	literate	adjective	識字的
illuminate	illumination	noun	照明；闡明
illusion	illusory	adjective	虛幻的
illusion	illusionist	noun	魔術師
illusory	illusion	noun	錯覺
illustrate	illustration	noun	插圖；例證
illustrate	illustrator	noun	插畫家
illustrate	illustrative	adjective	說明性的
illustration	illustrate	verb	說明
illustration	illustrative	adjective	說明性的
imagery	image	noun	影像；意象
imagery	imagine	verb	想像
imaginative	imagination	noun	想像力
imaginative	imagine	verb	想像
imaginative	imaginary	adjective	虛構的
imitate	imitation	noun	模仿；仿製品
imitate	imitative	adjective	模仿的
imitate	imitator	noun	模仿者
immaculate	immaculately	adverb	一塵不染地
immediate	immediately	adverb	立即
immediate	immediacy	noun	即時性
immense	immensely	adverb	極大地
immense	immensity	noun	巨大
immerse	immersion	noun	沉浸
immerse	immersive	adjective	沉浸式的
immigrant	immigrate	verb	移入（他國）
immigrant	immigration	noun	移民
immigration	immigrant	noun	移民者
immigration	immigrate	verb	移入（他國）
imminent	imminence	noun	迫近
imminent	imminently	adverb	即將地
immune	immunity	noun	免疫力
immune	immunize	verb	使免疫
impassioned	passion	noun	熱情
impassioned	passionate	adjective	熱情的
impassive	impassively	adverb	面無表情地
impassive	impassivity	noun	冷漠
impeach	impeachment	noun	彈劾
impede	impediment	noun	障礙
impenetrable	penetrate	verb	穿透
impenetrable	impenetrability	noun	不可穿透性
imperial	empire	noun	帝國
imperial	imperialism	noun	帝國主義
imperial	emperor	noun	皇帝
impinge	impingement	noun	侵犯；撞擊
implausible	implausibility	noun	難以置信
implausible	plausible	adjective	合理的
implication	imply	verb	暗示
implication	implicit	adjective	含蓄的
impose	imposition	noun	強加
impression	impress	verb	使印象深刻
impression	impressive	adjective	令人印象深刻的
impression	impressionable	adjective	易受影響的
impressive	impress	verb	使印象深刻
impressive	impression	noun	印象
impressive	impressively	adverb	令人印象深刻地
imprisonment	imprison	verb	監禁
imprisonment	prison	noun	監獄
improvise	improvisation	noun	即興創作
improvise	improvisational	adjective	即興的
impulse	impulsive	adjective	衝動的
impulse	impulsively	adverb	衝動地
impulsive	impulse	noun	衝動
impulsive	impulsiveness	noun	衝動性
inability	ability	noun	能力
inability	unable	adjective	不能的
inability	able	adjective	能夠的
inadequate	adequate	adjective	足夠的
inadequate	inadequacy	noun	不足
inanimate	animate	verb	賦予生命
inanimate	animation	noun	動畫；生氣
inappropriate	appropriate	adjective	適當的
inappropriate	inappropriately	adverb	不恰當地
inaugural	inaugurate	verb	為……舉行就職典禮
inaugural	inauguration	noun	就職典禮
incarcerate	incarceration	noun	監禁
incentive	incentivize	verb	提供誘因；激勵
incessant	incessantly	adverb	不停地
incidence	incident	noun	事件
incidence	incidental	adjective	附帶的
incident	incidental	adjective	附帶的
incident	incidentally	adverb	順帶一提
incidentally	incidental	adjective	附帶的
incidentally	incident	noun	事件
incision	incise	verb	切開；雕刻
incision	incisive	adjective	犀利的
inclusive	include	verb	包括
inclusive	inclusion	noun	包含
inclusive	inclusively	adverb	包括地
incompetent	incompetence	noun	無能
incompetent	competent	adjective	能勝任的
incongruous	incongruity	noun	不協調
incongruous	congruous	adjective	一致的
incorporate	incorporation	noun	合併；法人設立
incorporate	corporate	adjective	公司的
incredible	incredibly	adverb	難以置信地
incredible	credible	adjective	可信的
incredulity	incredulous	adjective	不相信的
incredulity	incredulously	adverb	懷疑地
increment	incremental	adjective	遞增的
increment	incrementally	adverb	逐步地
incubation	incubate	verb	孵化；培養
incubation	incubator	noun	孵化器；育成中心
indebted	debt	noun	債務
indebted	indebtedness	noun	負債；感激之情
indefatigable	fatigue	noun	疲勞
indefatigable	indefatigably	adverb	不知疲倦地
indelible	indelibly	adverb	不可磨滅地
indeterminate	determine	verb	決定
indeterminate	determinate	adjective	確定的
indicative	indicate	verb	表明
indicative	indication	noun	跡象
indicator	indicate	verb	指示
indicator	indication	noun	跡象
indictment	indict	verb	起訴
indignation	indignant	adjective	憤慨的
indignation	indignantly	adverb	憤慨地
indignity	dignity	noun	尊嚴
indignity	undignified	adjective	有失尊嚴的
induce	induction	noun	引入；歸納
induce	inducement	noun	誘因
induct	induction	noun	就職；入會
induct	inductee	noun	新加入者
