lemma	familyLemma	pos	meaningZh
ridiculous	ridicule	verb	嘲笑；奚落
ridiculous	ridiculously	adverb	荒謬地；可笑地
rifle	rifleman	noun	步槍兵
rigid	rigidity	noun	剛性；僵化
rigid	rigidly	adverb	嚴格地；死板地
rigorous	rigor	noun	嚴謹；嚴格
rigorous	rigorously	adverb	嚴格地；嚴謹地
riot	rioter	noun	暴徒；參與暴動者
riot	riotous	adjective	暴亂的；喧鬧的
ripe	ripen	verb	成熟；使成熟
ripe	ripeness	noun	成熟（度）
ripen	ripe	adjective	成熟的
ripen	ripeness	noun	成熟（度）
risky	risk	noun	風險；危險
risky	riskiness	noun	風險程度
ritual	ritualistic	adjective	儀式化的
ritual	ritually	adverb	依儀式地
rival	rivalry	noun	競爭；對抗
rivet	riveting	adjective	扣人心弦的；引人入勝的
robe	disrobe	verb	脫去衣服
rocky	rock	noun	岩石；石頭
romance	romantic	adjective	浪漫的
romance	romantically	adverb	浪漫地
romance	romanticize	verb	浪漫化；美化
roof	rooftop	noun	屋頂；頂樓
rosy	rose	noun	玫瑰；薔薇
rotate	rotation	noun	旋轉；輪流
rotate	rotary	adjective	旋轉的
rotate	rotational	adjective	旋轉的；輪替的
rotation	rotate	verb	旋轉；輪流
rotation	rotational	adjective	旋轉的；輪替的
rough	roughly	adverb	大約；粗略地
rough	roughness	noun	粗糙；艱難
rough	roughen	verb	使粗糙
roughly	rough	adjective	粗糙的；艱難的
roughly	roughness	noun	粗糙
routine	routinely	adverb	例行地；經常性地
routinely	routine	noun	例行公事；慣例
rove	rover	noun	漫遊者；探測車
rowdy	rowdiness	noun	吵鬧；粗野
royalty	royal	adjective	皇家的；王室的
royalty	royalist	noun	保皇派人士
ruffle	unruffled	adjective	鎮定的；不受干擾的
ruin	ruinous	adjective	毀滅性的
ruin	ruination	noun	毀滅；破敗
sabotage	saboteur	noun	破壞者；怠工者
sacred	sacredness	noun	神聖（性）
sacrifice	sacrificial	adjective	犧牲的；獻祭的
sadden	sad	adjective	悲傷的
sadden	sadness	noun	悲傷；難過
sadistic	sadism	noun	虐待狂
sadistic	sadist	noun	虐待狂者
safeguard	safe	adjective	安全的
safeguard	safety	noun	安全；安全性
sage	sagacity	noun	睿智；聰慧
sage	sagacious	adjective	睿智的
salute	salutation	noun	招呼語；問候
salvage	salvageable	adjective	可搶救的；可回收的
sample	sampling	noun	取樣；抽樣
sanctuary	sanctity	noun	神聖（性）
sanctuary	sanctify	verb	使神聖；祝聖
sandy	sand	noun	沙；沙子
sane	sanity	noun	神智清醒；理智
sane	insane	adjective	精神失常的；瘋狂的
sane	insanity	noun	精神錯亂
sarcastic	sarcasm	noun	諷刺；挖苦
sarcastic	sarcastically	adverb	諷刺地
sardonic	sardonically	adverb	嘲諷地；冷嘲地
satisfaction	satisfy	verb	滿足；使滿意
satisfaction	satisfactory	adjective	令人滿意的
satisfaction	dissatisfaction	noun	不滿；不滿意
satisfactory	satisfy	verb	使滿意
satisfactory	satisfaction	noun	滿足；滿意
satisfactory	unsatisfactory	adjective	不令人滿意的
scan	scanner	noun	掃描器
scandal	scandalous	adjective	醜聞的；駭人聽聞的
scandal	scandalize	verb	使震驚；使反感
scant	scanty	adjective	不足的；稀少的
scant	scantily	adverb	不足地；稀少地
scarcely	scarce	adjective	稀少的；缺乏的
scarcely	scarcity	noun	缺乏；短缺
scarcity	scarce	adjective	稀少的；缺乏的
scarcity	scarcely	adverb	幾乎不
scare	scary	adjective	可怕的；嚇人的
scathing	scathingly	adverb	尖刻地；嚴厲地
scatter	scattering	noun	散布；零星分布
scenario	scene	noun	場景；情景
scenery	scenic	adjective	風景優美的
scenery	scene	noun	景色；場面
schedule	scheduling	noun	排程；行程安排
scholar	scholarly	adjective	學術性的；博學的
scholar	scholarship	noun	獎學金；學術研究
scholar	scholastic	adjective	學術的；學校的
scholarly	scholar	noun	學者
scholarly	scholarship	noun	學術研究
scholarship	scholar	noun	學者
scholarship	scholarly	adjective	學術性的
scorch	scorching	adjective	灼熱的；酷熱的
scorn	scornful	adjective	輕蔑的；鄙視的
scorn	scornfully	adverb	輕蔑地
scrap	scrappy	adjective	拼湊的；零碎的
scrape	scraper	noun	刮刀；刮具
scratch	scratchy	adjective	刺癢的；沙啞的
screw	screwdriver	noun	螺絲起子
screw	unscrew	verb	旋開；擰鬆
script	scriptwriter	noun	編劇
sculpt	sculpture	noun	雕塑；雕刻作品
sculpt	sculptor	noun	雕塑家
sculpt	sculptural	adjective	雕塑的
sculpture	sculpt	verb	雕刻；塑造
sculpture	sculptor	noun	雕塑家
sculpture	sculptural	adjective	雕塑的
seal	sealant	noun	密封劑
seal	unseal	verb	拆封；開啟封印
sear	searing	adjective	灼熱的；尖銳的
seasonal	season	noun	季節
seasonal	seasonally	adverb	季節性地
secondary	secondarily	adverb	次要地；其次
secrete	secretion	noun	分泌物
secrete	secretory	adjective	分泌的
secretion	secrete	verb	分泌
secretion	secretory	adjective	分泌的
secretive	secret	noun	秘密
secretive	secrecy	noun	保密；秘密狀態
secretive	secretly	adverb	秘密地；偷偷地
secular	secularism	noun	世俗主義
secular	secularize	verb	使世俗化
secular	secularization	noun	世俗化
secure	security	noun	安全；保障
secure	securely	adverb	安全地；牢固地
secure	insecure	adjective	不安全的；沒安全感的
sediment	sedimentary	adjective	沉積的
sediment	sedimentation	noun	沉積作用
seemingly	seeming	adjective	表面上的；看似的
seep	seepage	noun	滲漏；滲出量
segment	segmentation	noun	分割；區隔
segment	segmental	adjective	分段的；片段的
seize	seizure	noun	奪取；扣押；發作
select	selection	noun	選擇；精選
select	selective	adjective	有選擇性的
select	selectively	adverb	有選擇地
selection	select	verb	挑選；選擇
selection	selective	adjective	有選擇性的
semblance	resemblance	noun	相似；相似之處
semblance	resemble	verb	相似；像
senator	senate	noun	參議院
senator	senatorial	adjective	參議員的
senile	senility	noun	老年衰退；失智
sensation	sensational	adjective	轟動的；聳動的
sensation	sensationalism	noun	聳動主義
sensation	sense	noun	感覺；知覺
sensible	sense	noun	理智；判斷力
sensible	sensibly	adverb	明智地
sensible	sensibility	noun	感受力；敏感性
sensitive	sensitivity	noun	敏感度；靈敏度
sensitive	sensitize	verb	使敏感；使意識到
sensitive	insensitive	adjective	不敏感的；無同理心的
sensitivity	sensitive	adjective	敏感的
sensitivity	insensitivity	noun	不敏感；遲鈍
sensual	sensuality	noun	感官性；肉慾
sensual	sensuous	adjective	感官的；悅目悅耳的
sentiment	sentimental	adjective	感傷的；多愁善感的
sentiment	sentimentality	noun	多愁善感
septic	sepsis	noun	敗血症
septic	antiseptic	adjective	防腐的；殺菌的
sequence	sequential	adjective	依序的；連續的
sequence	sequencing	noun	定序；排序
sequential	sequence	noun	順序；序列
sequential	sequentially	adverb	依序地
seriously	serious	adjective	嚴肅的；嚴重的
seriously	seriousness	noun	嚴重性；認真
sever	severance	noun	切斷；斷絕；資遣
severe	severity	noun	嚴重性；劇烈程度
severe	severely	adverb	嚴重地；嚴厲地
sewage	sewer	noun	下水道；汙水管
sewage	sewerage	noun	下水道系統
shade	shady	adjective	陰涼的；可疑的
shade	shadow	noun	影子；陰影
shade	shading	noun	陰影處理；濃淡
shallow	shallowness	noun	淺；膚淺
sharp	sharpen	verb	使銳利；磨利
sharp	sharply	adverb	急遽地；嚴厲地
sharp	sharpness	noun	銳利；敏銳
sharply	sharp	adjective	鋒利的；敏銳的
sharply	sharpen	verb	使尖銳；加劇
shatter	shatterproof	adjective	防碎的；不易碎的
shave	shaver	noun	電動刮鬍刀
shave	unshaven	adjective	未刮鬍的
shear	shears	noun	大剪刀
shell	shellfish	noun	貝類；甲殼類
shelve	shelf	noun	架子；擱板
shiny	shine	verb	發光；照耀
shiny	shininess	noun	光亮；光澤
shiver	shivery	adjective	顫抖的；發冷的
shock	shocking	adjective	令人震驚的
shore	offshore	adjective	離岸的；海外的
shortage	short	adjective	短缺的；不足的
shortage	shorten	verb	縮短
shred	shredder	noun	碎紙機
shrewd	shrewdness	noun	精明；老練
shrewd	shrewdly	adverb	精明地
shrine	enshrine	verb	供奉；奉為圭臬
shrink	shrinkage	noun	收縮；縮水
shrub	shrubbery	noun	灌木叢
sickness	sick	adjective	生病的；不適的
sickness	sicken	verb	使作嘔；生病
sickness	sickly	adjective	病弱的
