lemma	familyLemma	pos	meaningZh
extrapolate	extrapolation	noun	外推；依據已知資料的推斷
extravagance	extravagant	adjective	奢侈的；揮霍的
extravagance	extravagantly	adverb	奢侈地；揮霍地
extricate	extrication	noun	脫離；解救
extricate	inextricable	adjective	無法擺脫的；糾纏不清的
exuberance	exuberant	adjective	熱情洋溢的；興高采烈的
exuberance	exuberantly	adverb	興高采烈地
exuberant	exuberance	noun	熱情洋溢；活力充沛
exuberant	exuberantly	adverb	興高采烈地
exude	exudation	noun	滲出；滲出物
fabric	fabricate	verb	製造；捏造
fabric	fabrication	noun	製造；捏造之詞
fabulous	fable	noun	寓言；神話故事
fabulous	fabulously	adverb	極好地；驚人地
faction	factional	adjective	派系的
faction	factionalism	noun	派系鬥爭
faint	faintly	adverb	微弱地；隱約地
faint	faintness	noun	微弱；暈眩
faithful	faith	noun	信念；信仰
faithful	faithfully	adverb	忠實地
faithful	faithfulness	noun	忠誠；忠實
fake	fakery	noun	偽造；作假
falsify	falsification	noun	偽造；竄改
falsify	false	adjective	假的；錯誤的
falter	unfaltering	adjective	堅定不移的
fame	famous	adjective	著名的
fame	infamous	adjective	惡名昭彰的
fame	famously	adverb	著名地
familiarity	familiar	adjective	熟悉的
familiarity	familiarize	verb	使熟悉
familiarity	unfamiliar	adjective	不熟悉的
fancy	fanciful	adjective	空想的；異想天開的
fantasy	fantasize	verb	幻想；空想
fantasy	fantastic	adjective	極好的；奇幻的
fantasy	fantastical	adjective	幻想的；奇異的
fare	farewell	noun	告別；辭行
fare	welfare	noun	福利；安康
fascinate	fascination	noun	著迷；魅力
fashion	fashionable	adjective	流行的；時髦的
fashion	fashionably	adverb	時髦地
fashion	unfashionable	adjective	過時的
fashionable	fashion	noun	流行；時尚
fashionable	unfashionable	adjective	不流行的
fashionable	fashionably	adverb	時髦地
fastidious	fastidiously	adverb	一絲不苟地
fastidious	fastidiousness	noun	一絲不苟；挑剔
fatal	fatality	noun	死亡事故；罹難者
fatal	fatally	adverb	致命地
fatal	fate	noun	命運
fathom	unfathomable	adjective	深不可測的；難以理解的
fathom	fathomable	adjective	可測知的；可理解的
fatten	fat	adjective	肥胖的；含脂肪的
fatten	fatty	adjective	多脂肪的；油膩的
fault	faulty	adjective	有缺陷的；故障的
fault	faultless	adjective	無瑕疵的；完美的
favorable	favor	noun	恩惠；贊同
favorable	favorably	adverb	有利地；贊同地
favorable	unfavorable	adjective	不利的
feast	festive	adjective	節慶的；歡樂的
feast	festival	noun	節日；慶典
feeble	feebly	adverb	虛弱地；無力地
feeble	feebleness	noun	虛弱；無力
