lemma	familyLemma	pos	meaningZh
abandon	abandonment	noun	拋棄；放棄
abate	abatement	noun	減輕；緩和
abdicate	abdication	noun	退位；放棄職責
aberration	aberrant	adjective	異常的；偏離常軌的
abet	abettor	noun	教唆者；幫兇
abide	abode	noun	住所；居處
abnormal	abnormality	noun	異常；反常現象
abnormal	abnormally	adverb	異常地
abolish	abolition	noun	廢除
abolish	abolitionist	noun	主張廢除制度者
abolition	abolish	verb	廢除
abolition	abolitionist	noun	廢除論者
aboriginal	aborigine	noun	原住民
abrasive	abrasion	noun	磨損；擦傷
abrasive	abrade	verb	磨損；擦傷
abrupt	abruptly	adverb	突然地
abrupt	abruptness	noun	突然；唐突
absence	absent	adjective	缺席的
absence	absentee	noun	缺席者
absenteeism	absentee	noun	缺勤者
absenteeism	absent	adjective	缺席的
absolute	absolutely	adverb	完全地；絕對地
absolute	absolutism	noun	專制主義；絕對主義
absolve	absolution	noun	赦免；免除罪責
absorb	absorption	noun	吸收
absorb	absorbent	adjective	有吸收力的
absorption	absorb	verb	吸收
absorption	absorbent	adjective	具吸收性的
abstain	abstention	noun	棄權；戒除
abstain	abstinence	noun	節制；戒絕
abstention	abstain	verb	棄權；戒除
abstruse	abstruseness	noun	深奧難懂
absurd	absurdity	noun	荒謬；荒謬之事
absurd	absurdly	adverb	荒謬地
abundance	abundant	adjective	豐富的
abundance	abundantly	adverb	大量地；充分地
abundant	abundance	noun	豐富；大量
abundant	abundantly	adverb	大量地
abuse	abusive	adjective	辱罵的；虐待的
abuse	abuser	noun	濫用者；施虐者
academy	academic	adjective	學術的
academy	academia	noun	學術界
accede	accession	noun	就任；加入條約
accelerate	acceleration	noun	加速
accelerate	accelerator	noun	加速裝置；油門
accentuate	accent	noun	重音；口音
accentuate	accentuation	noun	強調；重音標示
accessible	accessibility	noun	可及性；易取得性
accessible	access	noun	接觸或使用的機會
accessory	accessorize	verb	為…搭配配件
accommodate	accommodation	noun	住宿；通融；適應
accompany	accompaniment	noun	伴隨物；伴奏
accompany	accompanist	noun	伴奏者
accomplish	accomplishment	noun	成就；完成
accomplishment	accomplish	verb	完成；達成
accord	accordance	noun	一致；依照
accord	accordingly	adverb	因此；相應地
accountability	accountable	adjective	負有責任的；須說明的
accountability	account	noun	說明；帳目
accountant	accountancy	noun	會計專業；會計工作
accrue	accrual	noun	應計；累積額
accumulate	accumulation	noun	累積
accumulate	accumulative	adjective	累積的
accumulation	accumulate	verb	累積
accumulation	accumulative	adjective	累積的
accuracy	accurate	adjective	準確的
accuracy	accurately	adverb	準確地
accurate	accuracy	noun	準確度
accurate	accurately	adverb	準確地
accusation	accuse	verb	指控
accusation	accusatory	adjective	指責的
accuse	accusation	noun	指控
accuse	accuser	noun	指控者
achievement	achieve	verb	達成；實現
achievement	achievable	adjective	可達成的
acid	acidic	adjective	酸性的
acid	acidity	noun	酸度
acid	acidify	verb	使酸化
acoustic	acoustics	noun	聲學；音響效果
acoustic	acoustically	adverb	在聲學上
acquaintance	acquaint	verb	使認識；使熟悉
acquiesce	acquiescence	noun	默許
acquiesce	acquiescent	adjective	默許的；順從的
acquisition	acquire	verb	取得；習得
acquisition	acquisitive	adjective	熱衷取得的
acre	acreage	noun	英畝數；土地面積
acrimony	acrimonious	adjective	尖刻的；激烈爭執的
activate	activation	noun	啟動；活化
activate	activator	noun	活化劑；啟動者
actively	active	adjective	積極的；活躍的
actively	activity	noun	活動
acuity	acute	adjective	敏銳的；急性的
acute	acuity	noun	敏銳度
acute	acutely	adverb	敏銳地；強烈地
adamant	adamantly	adverb	堅決地
adapt	adaptation	noun	適應；改編
adapt	adaptable	adjective	適應力強的
adapt	adapter	noun	轉接器；改編者
adaptable	adapt	verb	適應；使適合
adaptable	adaptability	noun	適應力
adaptation	adapt	verb	適應；改編
adaptation	adaptive	adjective	適應性的
addict	addiction	noun	成癮
addict	addictive	adjective	使人上癮的
addition	add	verb	加；增添
addition	additional	adjective	額外的
addition	additive	noun	添加劑
additive	add	verb	添加
additive	addition	noun	添加；相加
adhere	adhesion	noun	黏附
adhere	adherence	noun	遵守；堅持
adhere	adhesive	noun	黏著劑
adherent	adhere	verb	黏附；遵守
adherent	adherence	noun	遵守；擁護
adhesive	adhere	verb	黏附
adhesive	adhesion	noun	黏著
adjacent	adjacency	noun	鄰接；毗連
adjust	adjustment	noun	調整
adjust	adjustable	adjective	可調整的
adjustment	adjust	verb	調整
adjustment	adjustable	adjective	可調整的
administer	administration	noun	管理；行政
administer	administrator	noun	管理者
administer	administrative	adjective	行政的
administrative	administer	verb	管理；執行
administrative	administration	noun	行政；管理部門
administrative	administratively	adverb	行政上
administrator	administer	verb	管理
administrator	administration	noun	行政機關
admiration	admire	verb	欽佩
admiration	admirable	adjective	令人欽佩的
admire	admiration	noun	欽佩
admire	admirable	adjective	值得讚賞的
admire	admirer	noun	仰慕者
admission	admit	verb	承認；准許進入
admission	admissible	adjective	可接受的；可採納的
admonish	admonition	noun	告誡；責備
admonish	admonitory	adjective	告誡的
adolescent	adolescence	noun	青春期
adoption	adopt	verb	採用；收養
adoption	adoptive	adjective	收養的
adorn	adornment	noun	裝飾；裝飾品
advance	advancement	noun	推進；晉升
adventure	adventurous	adjective	愛冒險的
adventure	adventurer	noun	冒險者
adverse	adversity	noun	逆境
adverse	adversely	adverb	不利地
advert	advertisement	noun	廣告
advert	advertise	verb	刊登廣告；宣傳
advertise	advertisement	noun	廣告
advertise	advertiser	noun	廣告主
advisable	advise	verb	建議
advisable	advice	noun	建議
advisable	advisability	noun	可取性；是否明智
advocacy	advocate	noun	倡議者
advocate	advocacy	noun	倡議；公開支持
aesthetic	aesthetics	noun	美學
aesthetic	aesthetically	adverb	在美感上
affection	affectionate	adjective	充滿感情的
affection	affectionately	adverb	親切地
affiliation	affiliate	verb	使隸屬；加入
affirm	affirmation	noun	肯定；確認
affirm	affirmative	adjective	肯定的
affix	affixation	noun	加詞綴；詞綴化
afflict	affliction	noun	痛苦；苦難
affliction	afflict	verb	使受苦
affluence	affluent	adjective	富裕的
aggravate	aggravation	noun	惡化；加重
aggregate	aggregation	noun	聚集；彙總
aggression	aggressive	adjective	具攻擊性的
aggression	aggressor	noun	侵略者
aggressive	aggression	noun	攻擊性；侵略
aggressive	aggressively	adverb	積極地；強勢地
agile	agility	noun	敏捷；靈活
agility	agile	adjective	敏捷的
agitate	agitation	noun	激動；鼓動
agitate	agitator	noun	鼓動者；攪拌器
agony	agonize	verb	苦惱；煎熬
agreeable	agree	verb	同意
agreeable	agreement	noun	協議；一致
agreeable	agreeably	adverb	愉快地
agriculture	agricultural	adjective	農業的
agriculture	agriculturalist	noun	農業專家
ailment	ail	verb	使痛苦；生病
alarm	alarmist	noun	危言聳聽者
alert	alertness	noun	警覺；機敏
alert	alertly	adverb	警覺地
alien	alienate	verb	使疏離
alien	alienation	noun	疏離
alienate	alienation	noun	疏離感
alienate	alien	adjective	陌生的；外來的
align	alignment	noun	對齊；結盟
allegation	allege	verb	指控
allegation	allegedly	adverb	據稱
allege	allegation	noun	指控
allege	allegedly	adverb	據稱
allergic	allergy	noun	過敏
allergic	allergen	noun	過敏原
alliance	ally	noun	盟友
allowance	allow	verb	允許
allowance	allowable	adjective	可允許的
allude	allusion	noun	暗示；典故
allude	allusive	adjective	暗指的
ally	alliance	noun	聯盟
aloof	aloofness	noun	冷漠疏離
alphabetical	alphabet	noun	字母表
alphabetical	alphabetically	adverb	按字母順序地
alphabetical	alphabetize	verb	按字母順序排列
alter	alteration	noun	更改；修改
alter	alterable	adjective	可改變的
alteration	alter	verb	改變；修改
alternative	alternate	verb	交替；輪流
alternative	alternatively	adverb	或者；作為替代
altruism	altruistic	adjective	利他的
altruism	altruist	noun	利他主義者
altruistic	altruism	noun	利他主義
altruistic	altruistically	adverb	無私地
amateur	amateurish	adjective	業餘的；不熟練的
amateur	amateurism	noun	業餘性質
ambassador	ambassadorial	adjective	大使的
ambience	ambient	adjective	周遭的；環境的
ambiguity	ambiguous	adjective	模稜兩可的
ambiguity	ambiguously	adverb	含糊地
ambition	ambitious	adjective	有抱負的
ambitious	ambition	noun	抱負；企圖心
ambitious	ambitiously	adverb	雄心勃勃地
ambivalence	ambivalent	adjective	矛盾的
ambivalent	ambivalence	noun	矛盾心理
ambivalent	ambivalently	adverb	帶著矛盾心情地
ameliorate	amelioration	noun	改善
amend	amendment	noun	修正；修正案
amendment	amend	verb	修訂
amicable	amicably	adverb	友好地
amicable	amity	noun	友好關係
ample	amply	adverb	充分地
amplify	amplification	noun	放大；擴大
amplify	amplifier	noun	擴大機
amuse	amusement	noun	娛樂；樂趣
analogous	analogy	noun	類比
analogous	analogously	adverb	類似地
analogy	analogous	adjective	類似的；可類比的
analogy	analogical	adjective	類推的
analysis	analyze	verb	分析
analysis	analytical	adjective	分析的
analysis	analyst	noun	分析師
analytical	analysis	noun	分析
analytical	analyze	verb	分析
analytical	analytically	adverb	以分析方式
analyze	analysis	noun	分析
analyze	analyst	noun	分析師
anatomical	anatomy	noun	解剖學；身體構造
anatomical	anatomist	noun	解剖學家
ancestor	ancestral	adjective	祖先的
ancestor	ancestry	noun	祖先；血統
anchor	anchorage	noun	錨地；固定處
angle	angular	adjective	有稜角的；角度的
animate	animation	noun	動畫；生氣
animate	animator	noun	動畫師
annexation	annex	verb	兼併；附加
annihilate	annihilation	noun	殲滅；湮滅
announcement	announce	verb	宣布
announcement	announcer	noun	播報員
annually	annual	adjective	每年的；年度的
anomalous	anomaly	noun	異常現象
anonymous	anonymity	noun	匿名
anonymous	anonymously	adverb	匿名地
anthropologist	anthropology	noun	人類學
anthropologist	anthropological	adjective	人類學的
anthropology	anthropologist	noun	人類學家
anthropology	anthropological	adjective	人類學的
anticipation	anticipate	verb	預期；預料
anticipation	anticipatory	adjective	預期的
antipathy	antipathetic	adjective	反感的
antique	antiquity	noun	古代；古物
antique	antiquarian	noun	古物研究者
antiquity	antique	noun	古董
antithesis	antithetical	adjective	對立的；恰恰相反的
anxiety	anxious	adjective	焦慮的
anxiety	anxiously	adverb	焦急地
anxious	anxiety	noun	焦慮
anxious	anxiously	adverb	焦慮地
apologize	apology	noun	道歉
apologize	apologetic	adjective	表示歉意的
apology	apologize	verb	道歉
apology	apologetic	adjective	歉疚的
apparition	appear	verb	出現；顯現
appease	appeasement	noun	姑息；安撫
appendix	append	verb	附加；增補
appendix	appendage	noun	附屬物；附肢
appetite	appetizer	noun	開胃菜
applaud	applause	noun	掌聲
applause	applaud	verb	鼓掌；讚許
appliance	apply	verb	應用；使用
appliance	application	noun	應用
applicable	apply	verb	適用；應用
applicable	applicability	noun	適用性
applicant	apply	verb	申請
applicant	application	noun	申請；申請書
appointment	appoint	verb	任命；約定
appointment	appointee	noun	被任命者
appraisal	appraise	verb	評估；估價
