lemma	familyLemma	pos	meaningZh
depose	deposition	noun	罷黜；免職
deposit	depositor	noun	存款人
deposit	depository	noun	存放處；保管庫
deposit	deposition	noun	沉積（作用）
depression	depress	verb	使沮喪；壓低
depression	depressive	adjective	憂鬱的；抑鬱性的
deprivation	deprive	verb	剝奪；使喪失
deprive	deprivation	noun	剝奪；匱乏
deputy	deputize	verb	代理；委任為代理人
deputy	deputation	noun	代表團
derelict	dereliction	noun	玩忽職守；荒廢
deride	derision	noun	嘲笑；奚落
deride	derisive	adjective	嘲笑的；輕蔑的
deride	derisory	adjective	可笑的；微不足道的
derivation	derive	verb	衍生；得自
derivation	derivative	adjective	衍生的；模仿的
derivative	derive	verb	衍生；源自
derivative	derivation	noun	衍生；由來
descend	descent	noun	下降；血統
descend	descendant	noun	後代；後裔
descendant	descend	verb	下降；傳承自
descendant	descent	noun	血統；家世
descent	descend	verb	下降；降落
descent	descendant	noun	後代；後裔
desertion	desert	verb	遺棄；擅離職守
desertion	deserter	noun	逃兵；背棄者
deserve	deservedly	adverb	理所當然地；應得地
deserve	undeserved	adjective	不應得的
desiccate	desiccation	noun	乾燥；脫水
desiccate	desiccant	noun	乾燥劑
designate	designation	noun	指定；稱號
designate	designee	noun	被指定人
designation	designate	verb	指定；指派
designer	design	verb	設計；規劃
designer	redesign	verb	重新設計
desirable	desire	noun	渴望；慾望
desirable	undesirable	adjective	不受歡迎的；不良的
desirable	desirability	noun	可取之處；合意性
desire	desirable	adjective	令人嚮往的；理想的
desire	desirous	adjective	渴望的
despair	desperate	adjective	絕望的；不顧一切的
despair	desperation	noun	絕望；孤注一擲
desperate	despair	noun	絕望
desperate	desperation	noun	絕望；拼命
desperate	desperately	adverb	拼命地；極度迫切地
desperately	desperate	adjective	絕望的；急切的
desperately	desperation	noun	絕望；孤注一擲
destination	destine	verb	註定；預定（前往）
destination	destiny	noun	命運；天命
destiny	destine	verb	註定；命中注定
destruction	destroy	verb	摧毀；破壞
destruction	destructive	adjective	破壞性的
destruction	indestructible	adjective	堅不可摧的
destructive	destroy	verb	摧毀；毀滅
destructive	destruction	noun	毀滅；破壞
desultory	desultorily	adverb	漫無目的地
detain	detention	noun	拘留；扣押
detain	detainee	noun	被拘留者
detect	detection	noun	偵測；察覺
detect	detector	noun	偵測器
detect	detective	noun	偵探；刑警
detection	detect	verb	偵測；發現
detection	detector	noun	偵測器
detective	detect	verb	偵查；察覺
detective	detection	noun	偵查；察覺
deter	deterrent	noun	嚇阻物；威懾力量
deter	deterrence	noun	嚇阻；威懾
determination	determine	verb	決定；確定
determination	indeterminate	adjective	不確定的；未定的
detest	detestable	adjective	令人厭惡的
detest	detestation	noun	憎惡；厭惡
detonate	detonation	noun	引爆；爆炸
detonate	detonator	noun	雷管；引爆裝置
detrimental	detriment	noun	損害；不利
detrimental	detrimentally	adverb	有害地
devastate	devastation	noun	毀滅；浩劫
deviant	deviate	verb	偏離；背離
deviant	deviation	noun	偏差；偏離
deviant	deviance	noun	偏差行為
device	devise	verb	設計；想出（辦法）
devise	device	noun	裝置；方法
devolve	devolution	noun	權力下放；移轉
devote	devotion	noun	奉獻；虔誠
devote	devotee	noun	愛好者；信徒
devote	devout	adjective	虔誠的
diabetes	diabetic	adjective	糖尿病的
diagnose	diagnosis	noun	診斷（結果）
diagnose	diagnostic	adjective	診斷的
diagnosis	diagnose	verb	診斷
diagnosis	diagnostic	adjective	診斷的
diagram	diagrammatic	adjective	圖解的；示意的
dialect	dialectal	adjective	方言的
diameter	diametric	adjective	直徑的；正相反的
diameter	diametrically	adverb	完全相反地
dictate	dictation	noun	口述；聽寫
dictate	dictator	noun	獨裁者
dictate	dictatorship	noun	獨裁統治
didactic	didactically	adverb	說教地
didactic	didacticism	noun	說教主義
diet	dietary	adjective	飲食的
diet	dietitian	noun	營養師
differentiate	differentiation	noun	區分；分化
differentiate	different	adjective	不同的
differentiate	difference	noun	差異；不同
digestion	digest	verb	消化；理解吸收
digestion	digestive	adjective	消化的
dignity	dignify	verb	使有尊嚴；使顯得高貴
dignity	indignity	noun	屈辱；侮辱
diligence	diligent	adjective	勤勉的；勤奮的
diligence	diligently	adverb	勤奮地
dimension	dimensional	adjective	維度的；空間的
dimension	multidimensional	adjective	多維的；多面向的
diminish	diminution	noun	減少；縮減
diminish	diminutive	adjective	極小的；小巧的
diminution	diminish	verb	減少；削弱
diminution	diminutive	adjective	小巧的；微小的
dingy	dinginess	noun	陰暗骯髒
diocesan	diocese	noun	教區
dioxide	oxide	noun	氧化物
diplomacy	diplomat	noun	外交官
diplomacy	diplomatic	adjective	外交的；圓滑得體的
diplomat	diplomacy	noun	外交；處事手腕
diplomat	diplomatic	adjective	外交的
diplomatic	diplomacy	noun	外交
diplomatic	diplomat	noun	外交官
diplomatic	diplomatically	adverb	圓融地；在外交上
directory	direct	verb	指引；指導
directory	director	noun	主管；導演
disadvantage	advantage	noun	優勢；有利條件
disadvantage	disadvantageous	adjective	不利的
disagreeable	disagree	verb	不同意
disagreeable	agreeable	adjective	令人愉快的；宜人的
disagreement	disagree	verb	不同意
disagreement	agreement	noun	協議；一致
disappointment	disappoint	verb	使失望
disarm	disarmament	noun	裁軍；解除武裝
disarm	arm	verb	武裝
disaster	disastrous	adjective	災難性的
disaster	disastrously	adverb	災難性地
disastrous	disaster	noun	災難；徹底失敗
disastrous	disastrously	adverb	災難性地
disclose	disclosure	noun	揭露；披露
disclose	undisclosed	adjective	未公開的
discourage	discouragement	noun	氣餒；勸阻
discourage	encourage	verb	鼓勵；促進
discourse	discursive	adjective	漫談式的；離題的
discredit	credit	noun	信譽；功勞
discredit	discreditable	adjective	有損名譽的
discrete	discreteness	noun	離散性；個別性
discrete	discretely	adverb	個別地；分開地
discretion	discretionary	adjective	可自由裁量的
discretion	discreet	adjective	謹慎的；審慎的
discriminate	discrimination	noun	歧視；區別
discriminate	discriminatory	adjective	歧視性的
discriminate	indiscriminate	adjective	不加區別的；濫無節制的
discrimination	discriminate	verb	歧視；區分
discrimination	discriminatory	adjective	歧視性的
discriminatory	discriminate	verb	歧視；區分
discriminatory	discrimination	noun	歧視
discursive	discourse	noun	論述；言談
discursive	discursively	adverb	漫談地；離題地
disdain	disdainful	adjective	輕蔑的
disdain	disdainfully	adverb	輕蔑地
disengage	disengagement	noun	脫離；抽身
disengage	engage	verb	參與；使從事
disentangle	entangle	verb	使纏繞；使捲入
disentangle	disentanglement	noun	解開；理清
disguise	guise	noun	外表；偽裝的樣子
disillusion	illusion	noun	幻覺；錯覺
disillusion	disillusionment	noun	幻滅
disinterested	disinterest	noun	無私心；不偏不倚
dislodge	lodge	verb	嵌入；安置
dismal	dismally	adverb	陰沉地；糟糕地
disparage	disparagement	noun	貶低；輕蔑
disparate	disparity	noun	差距；懸殊
dispassionate	dispassionately	adverb	冷靜客觀地
dispassionate	passionate	adjective	熱情的；強烈的
dispel	expel	verb	驅逐；排出
disperse	dispersal	noun	疏散；散開
disperse	dispersion	noun	分散；擴散
disposable	dispose	verb	處理掉；使傾向
disposable	disposal	noun	處置；處理
disposal	dispose	verb	處理掉；丟棄
disposal	disposable	adjective	用完即丟的
dispose	disposal	noun	處置；處理
dispose	disposable	adjective	拋棄式的
dispose	disposition	noun	性情；傾向
disposition	dispose	verb	使傾向於
disposition	predisposition	noun	傾向；易感性
disprove	prove	verb	證明
disprove	disproof	noun	反證；反駁
dispute	disputable	adjective	有爭議的
dispute	indisputable	adjective	無可爭辯的
disrupt	disruption	noun	中斷；擾亂
disrupt	disruptive	adjective	造成干擾的
disruptive	disrupt	verb	擾亂；打斷
disruptive	disruption	noun	中斷；干擾
dissection	dissect	verb	解剖；剖析
dissent	dissenter	noun	異議者
dissent	dissension	noun	意見不合；紛爭
dissident	dissidence	noun	異議；不同政見
dissipate	dissipation	noun	消散；揮霍
dissociate	dissociation	noun	分離；解離
dissociate	associate	verb	聯想；使聯繫
dissolve	dissolution	noun	解散；溶解
dissuade	dissuasion	noun	勸阻
