lemma	sense	register	grammarPatterns
assemble	verb	neutral,technical	["assemble + noun","assemble sth from + noun"]
assemble	verb_gather	formal	["assemble in/at + noun","assemble + noun"]
assembly	noun	technical,neutral	["require some assembly","the assembly of + noun"]
assembly	noun_unit	technical	["the + noun + assembly","replace an assembly"]
assembly	noun_group	formal	["an assembly of + plural noun","hold an assembly"]
assent	noun	formal	["give one's assent to + noun","with the assent of + noun"]
assent	verb	formal	["assent to + noun"]
assert	verb	formal,academic	["assert that + clause","assert + noun"]
assert	verb_right	formal,academic	["assert one's + noun","assert oneself"]
assertive	adjective	neutral,business	["be assertive about + noun","an assertive + noun"]
assiduous	adjective	formal,academic,literary	["an assiduous + noun","be assiduous in + V-ing"]
assign	verb	neutral,business	["assign sth to sb","assign sb to + noun"]
assign	verb_value	technical,academic	["assign a value to + noun","assign sth + noun"]
assign	verb_transfer	formal,business	["assign sth to sb","assign rights to + noun"]
assignment	noun	neutral,academic	["hand in an assignment","an assignment on + noun"]
assignment	noun_allocation	formal,business	["the assignment of + noun","assignment to + noun"]
assignment	noun_transfer	formal,business	["the assignment of + noun","permit assignment to + noun"]
assimilate	verb	formal,academic	["assimilate + noun","assimilate information about + noun"]
assimilate	verb_culture	academic,formal	["assimilate into + noun","assimilate sb into + noun"]
assimilate	verb_biology	technical,academic	["assimilate + noun","assimilate sth into + noun"]
assimilate	verb_sound	technical,academic	["assimilate to + noun"]
assist	noun	neutral,technical	["record an assist","an assist from sb"]
assist	verb	formal	["assist sb with + noun","assist sb in + V-ing"]
assistance	noun	formal,business	["provide/offer assistance","assistance with + noun","need assistance"]
assistant	noun	neutral,business	["an assistant to sb","a research/personal assistant"]
assure	verb	formal	["assure sb that + clause","assure sb of + noun"]
asteroid	noun	technical,academic	["a near-Earth asteroid","an asteroid orbiting + noun"]
asteroid	adjective	technical	["an asteroid + noun"]
astound	verb	neutral,literary	["astound sb","be astounded by + noun"]
astronomer	noun	academic,technical	["an astronomer at + noun","astronomers studying + noun"]
astronomy	noun	academic,technical	["study astronomy","a degree in astronomy"]
astute	adjective	formal,business	["an astute + noun","astute enough to do sth"]
asylum	noun	formal,academic	["apply for asylum","grant sb asylum","seek asylum in + noun"]
asylum	noun_institution	formal,literary	["a former asylum","be committed to an asylum"]
athlete	noun	neutral	["a professional athlete","an athlete competing in + noun"]
atmosphere	noun	academic,technical	["the Earth's atmosphere","enter the atmosphere"]
atmosphere	noun_mood	neutral	["a friendly atmosphere","create an atmosphere of + noun"]
atmosphere	noun_air	neutral	["a dusty/smoky atmosphere","the atmosphere in + noun"]
atom	noun	technical,academic	["an atom of + noun","a hydrogen/carbon atom"]
atom	noun_amount	formal,literary	["not an atom of + noun"]
atomic	adjective	technical,academic	["atomic + noun","atomic structure/energy"]
atomic	adjective_indivisible	technical	["an atomic operation","treat sth as atomic"]
atrocity	noun	formal,academic	["commit an atrocity","atrocities committed against + noun"]
attach	verb	neutral	["attach A to B","attach + noun"]
attach	verb_importance	formal	["attach importance to + noun","attach great weight to + noun"]
attach	verb_affection	neutral	["become attached to sb/sth","be deeply attached to + noun"]
attachment	noun	neutral,business,technical	["send sth as an attachment","open an attachment"]
attachment	noun_part	technical	["an attachment for + noun","fit an attachment to + noun"]
attachment	noun_feeling	neutral,academic	["an attachment to sb/sth","form an attachment to + noun"]
attachment	noun_legal	formal,technical	["the attachment of + noun","order the attachment of + noun"]
attain	verb	formal,academic	["attain + noun","attain a level of + noun"]
attainment	noun	formal,academic	["educational attainment","the attainment of + noun"]
attendance	noun	formal,academic,business	["regular attendance","attendance at + noun"]
attendance	noun_number	neutral,business	["attendance at + noun","attendance of + noun"]
