lemma	sense	register	grammarPatterns
extrapolate	verb	academic,technical	["extrapolate + noun","extrapolate sth from sth","extrapolate from + noun"]
extravagance	noun	formal	["the extravagance of + noun","accuse sb of extravagance"]
extricate	verb	formal	["extricate sb/sth from + noun","extricate oneself from + noun"]
exuberance	noun	formal,literary	["the exuberance of + noun","with + adjective + exuberance"]
exuberant	adjective	formal,literary	["an exuberant + noun","be exuberant about + noun"]
exude	verb	formal,literary	["exude + noun","exude confidence/charm","sth exudes from + noun"]
fabric	noun	neutral,technical	["a + adjective + fabric","the fabric of + noun","be made of/from + noun + fabric"]
fabulous	adjective	informal,spoken	["a fabulous + noun","look/sound fabulous"]
faction	noun	formal,academic	["a faction within + noun","rival factions","split into factions"]
faculty	noun	formal,academic	["the faculty of + noun","one's mental faculties","a faculty for + V-ing"]
fade	verb	neutral	["sth fades","fade away","fade into + noun"]
fade	noun	technical,neutral	["a slow fade","a fade to black"]
faint	adjective	neutral,literary	["a faint + noun","grow faint","be faint with + noun"]
faint	verb	neutral	["faint from + noun","faint at the sight of + noun"]
faint	noun	formal,literary	["fall into a faint","in a dead faint"]
faithful	adjective	formal,literary	["be faithful to + noun","remain faithful to sb/sth","a faithful + noun"]
faithful	noun	formal,literary	["the faithful","among the faithful"]
fake	noun	informal	["be a fake","spot a fake"]
fake	adjective	informal	["a fake + noun","use a fake + noun"]
falsify	verb	formal,business	["falsify + noun","falsify records/documents","be accused of falsifying + noun"]
falter	verb	formal,literary	["sb/sth falters","falter in + noun","one's voice falters"]
fame	noun	neutral	["rise to fame","win/achieve fame","fame as + noun"]
familiarity	noun	formal,academic	["familiarity with + noun","gain familiarity with + noun"]
fancy	noun	informal,literary	["take a fancy to + noun","catch/tickle sb's fancy","a passing fancy"]
fancy	adjective	informal,spoken	["a fancy + noun","nothing fancy"]
fancy	verb	informal,spoken	["fancy + V-ing","fancy sb/sth","fancy oneself as + noun"]
fantasy	noun	neutral,literary	["a fantasy about + noun","live in a fantasy","the fantasy genre"]
fare	noun	neutral,business	["a + adjective + fare","pay the fare","the fare for + noun"]
fascinate	verb	neutral	["sth fascinates sb","be fascinated by + noun"]
fashion	noun	neutral,business	["the latest fashion","be in/out of fashion","in a + adjective + fashion"]
fashion	verb	formal,literary	["fashion sth out of + noun","fashion sth from + noun","fashion + noun"]
fashionable	adjective	neutral,business	["a fashionable + noun","become fashionable","it is fashionable to + V"]
fastidious	adjective	formal,literary	["be fastidious about + noun","a fastidious + noun"]
fatal	adjective	formal	["prove fatal","a fatal + noun","be fatal to/for + noun"]
fathom	noun	technical	["at a depth of + number + fathoms","number + fathoms deep"]
fathom	verb	neutral,spoken	["cannot fathom + noun","fathom why/how + clause","fathom sth out"]
fatigue	noun	formal,technical	["suffer from fatigue","chronic/mental fatigue","fatigue sets in"]
fatten	verb	neutral,technical	["fatten + noun","fatten sth up","fatten animals for + noun"]
fault	noun	neutral	["be sb's fault","a fault in + noun","find fault with + noun"]
favorable	adjective	formal,business	["be favorable to/for + noun","a favorable + noun","favorable conditions"]
feast	noun	neutral,literary	["a feast of + noun","prepare/hold a feast"]
feast	verb	literary,formal	["feast on + noun","feast with sb"]
feeble	adjective	formal,literary	["a feeble + noun","grow/become feeble","a feeble excuse for + noun"]
feedback	noun	business,neutral	["give/receive feedback","feedback on + noun","positive/negative feedback"]
feign	verb	formal,literary	["feign + noun","feign surprise/illness","feign to + V"]
fellowship	noun	formal,academic	["be awarded a fellowship","a fellowship at/in + noun","fellowship with + noun"]
feminist	noun	neutral,academic	["be a feminist","identify as a feminist"]
ferret	noun	neutral	["keep a ferret","a pet ferret"]
ferret	verb	informal,spoken	["ferret out + noun","ferret around for + noun"]
ferry	noun	neutral	["take the ferry","a ferry to/from + noun","the ferry across + noun"]
fertilize	verb	technical,academic	["fertilize + noun","fertilize the soil with + noun"]
fervent	adjective	formal,literary	["a fervent + noun","a fervent believer in + noun"]
fiber	noun	technical,neutral	["dietary fiber","a source of fiber","natural/synthetic fibers"]
fickle	adjective	literary,neutral	["a fickle + noun","be fickle about + noun"]
fiction	noun	neutral,academic	["a work of fiction","historical/science fiction","fact and fiction"]
fictional	adjective	neutral,academic	["a fictional + noun","be purely fictional"]
fictitious	adjective	formal	["a fictitious + noun","under a fictitious name"]
fidget	verb	informal,spoken	["fidget with + noun","fidget in one's seat"]
fidget	noun	informal,spoken	["be a fidget","a nervous fidget"]
fierce	adjective	neutral,literary	["a fierce + noun","fierce competition/opposition","be fierce about + noun"]
figurative	adjective	academic,formal	["in a figurative sense","figurative language","a figurative + noun"]
filament	noun	technical	["a filament of + noun","the filament in + noun"]
filibuster	noun	formal,technical	["launch/stage a filibuster","a filibuster against + noun"]
filibuster	verb	formal,technical	["filibuster + noun","filibuster for + noun"]
fillet	noun	neutral,technical	["a fillet of + noun","a + adjective + fillet"]
fillet	verb	technical,neutral	["fillet + noun","fillet a fish"]
filter	noun	technical,neutral	["a filter for + noun","change/replace a filter","pass sth through a filter"]
filter	verb	technical,neutral	["filter + noun","filter sth out of + noun","filter through + noun"]
finance	noun	business,formal	["public/personal finance","work in finance","the finance for + noun"]
finance	verb	business,formal	["finance + noun","finance sth through/with + noun"]
finite	adjective	academic,technical	["a finite + noun","finite resources","be finite"]
fiscal	adjective	business,formal	["the fiscal year","fiscal policy","a fiscal + noun"]
fishery	noun	technical,business	["manage a fishery","deplete the fisheries","a commercial fishery"]
fissure	noun	technical,literary	["a fissure in + noun","a deep fissure"]
fissure	verb	technical,literary	["sth fissures","fissure under + noun"]
fist	noun	neutral	["clench one's fist","make a fist","shake one's fist at sb"]
fitness	noun	neutral,technical	["physical fitness","improve one's fitness","fitness for + noun"]
fixate	verb	formal,academic	["fixate on + noun","be fixated on/with + noun"]
fixture	noun	neutral,technical	["a fixture in + noun","a permanent fixture","fixtures and fittings"]
flagrant	adjective	formal	["a flagrant + noun","a flagrant violation of + noun"]
flail	noun	technical,literary	["use a flail","swing a flail"]
flail	verb	neutral,literary	["flail one's arms","flail about/around","flail at + noun"]
flamboyant	adjective	literary,neutral	["a flamboyant + noun","a flamboyant style"]
flame	verb	informal	["sth flames","flame up","flame sb"]
flash	noun	neutral,literary	["a flash of + noun","in a flash"]
flaunt	noun	informal,literary	["a flaunt of + noun"]
