lemma	sense	register	grammarPatterns
petty	adjective	informal	["a petty + noun","be petty about + noun","it seems petty to + V"]
phantom	adjective	neutral,literary	["phantom + noun","a phantom + noun"]
pharmaceutical	adjective	technical,business	["pharmaceutical + noun","the pharmaceutical industry"]
phase	noun	neutral,academic	["a phase of + noun","the + adjective + phase","go through a phase"]
phenomenal	adjective	informal	["a phenomenal + noun","be phenomenal at + V-ing"]
phenomenon	noun	academic,formal	["a + adjective + phenomenon","the phenomenon of + noun","the phenomenon that + clause"]
philanthropic	adjective	formal	["philanthropic + noun","a philanthropic + noun"]
philosopher	noun	academic,formal	["a philosopher of + noun","the + adjective + philosopher"]
philosophy	noun	academic,neutral	["the philosophy of + noun","a philosophy of + V-ing","study philosophy"]
phlegmatic	adjective	formal,literary	["a phlegmatic + noun","remain phlegmatic"]
phonetic	adjective	technical,academic	["phonetic + noun","the phonetic form of + noun"]
phony	adjective	informal,spoken	["a phony + noun","sound phony"]
photosynthesis	noun	technical,academic	["the process of photosynthesis","through photosynthesis","a byproduct of photosynthesis"]
phrase	noun	neutral,academic	["a + adjective + phrase","a phrase from + noun","use a phrase"]
phrase	verb	formal	["phrase sth + adverb","phrase sth as + noun"]
physician	noun	formal,technical	["consult a physician","a physician who + clause","see one's physician"]
physicist	noun	academic,technical	["a physicist at + noun","a + adjective + physicist"]
physiological	adjective	academic,technical	["physiological + noun","a physiological response to + noun"]
pictorial	adjective	formal	["a pictorial + noun","in pictorial form"]
pier	noun	neutral	["walk along the pier","a pier at + noun","on the pier"]
pigeon	noun	neutral	["feed the pigeons","a flock of pigeons"]
pigment	noun	technical,academic	["a pigment in + noun","the pigment responsible for + noun"]
pile	noun	informal	["a pile of + noun","in a pile","a huge pile of + noun"]
pill	noun	neutral	["take a pill","a pill for + noun","swallow a pill"]
pillar	noun	formal	["a pillar of + noun","support sth with pillars","stone pillars"]
pillow	noun	informal	["a + adjective + pillow","rest one's head on a pillow"]
pine	noun	neutral	["a pine tree","a forest of pines","tall pines"]
pinpoint	verb	neutral,technical	["pinpoint + noun","pinpoint the cause of + noun","pinpoint where + clause"]
pistol	noun	neutral,technical	["draw a pistol","point a pistol at + sb","fire a pistol"]
pitch	noun	business,neutral	["a sales pitch","make a pitch to + sb","a pitch for + noun"]
pitcher	noun	neutral	["a pitcher of + noun","pour from a pitcher"]
pitiful	adjective	informal	["a pitiful + noun","look pitiful"]
pivot	noun	formal	["the pivot of + noun","turn on a pivot","become the pivot of + noun"]
pivot	verb	business,neutral	["pivot to + noun","pivot toward + noun","pivot on + noun"]
placate	verb	formal	["placate + sb","placate sb with + noun","try to placate + sb"]
placement	noun	business,neutral	["a placement at + noun","the placement of + noun","get a placement"]
placid	adjective	literary,neutral	["a placid + noun","remain placid"]
plague	noun	formal	["a plague of + noun","be struck by a plague","spread a plague"]
plaintiff	noun	technical,formal	["the plaintiff in + noun","the plaintiff argued that + clause"]
planner	noun	business,neutral	["a + adjective + planner","an urban planner","work as a planner"]
plantation	noun	neutral	["a plantation in + noun","a + noun + plantation","work on a plantation"]
