lemma	sense	register	grammarPatterns
abandon	verb	formal	["abandon + sb/sth","abandon sth to + noun"]
abandon	verb_plan	formal	["abandon + noun","abandon the idea of + V-ing"]
abandon	verb_emotion	literary,formal	["abandon oneself to + noun"]
abandon	noun	literary,formal	["with abandon","with reckless abandon"]
abate	verb	formal,literary	["the + noun + abates","abate + noun"]
abdicate	verb	formal,academic	["abdicate the throne","abdicate in favor of + sb"]
abdicate	verb_duty	formal,academic	["abdicate + noun","abdicate responsibility for + noun"]
aberration	noun	academic,formal	["a temporary aberration","an aberration from + noun"]
abet	verb	formal,technical	["aid and abet + sb","abet sb in + V-ing"]
abide	verb	formal,spoken	["cannot abide + noun","cannot abide + V-ing"]
abide	verb_rules	formal,academic	["abide by + noun"]
abide	verb_remain	literary,formal	["abide in + noun","abide with + sb"]
abnormal	adjective	academic,technical	["an abnormal + noun","abnormally + adjective"]
aboard	adverb	neutral	["climb aboard","all aboard"]
aboard	preposition	neutral,technical	["aboard + noun","aboard the + noun"]
aboard	adverb_team	informal,spoken,business	["welcome aboard","bring sb aboard"]
abolish	verb	formal,academic	["abolish + noun","abolish the practice of + V-ing"]
abolition	noun	formal,academic	["the abolition of + noun","call for the abolition of + noun"]
aboriginal	adjective	neutral,academic	["Aboriginal + noun","an Aboriginal + noun"]
aboriginal	adjective_original	academic,formal	["the aboriginal + noun","aboriginal inhabitants of + noun"]
abrasive	noun	technical	["a mild abrasive","use an abrasive on + noun"]
abrasive	adjective	technical	["an abrasive + noun","abrasive enough to + V"]
abrasive	adjective_manner	informal	["an abrasive + noun","be abrasive with + sb"]
abrupt	adjective	formal	["an abrupt + noun","come to an abrupt end"]
abrupt	adjective_manner	informal	["be abrupt with + sb","an abrupt + noun"]
abrupt	adjective_slope	technical,literary	["an abrupt + noun"]
abscond	verb	formal,technical	["abscond with + noun","abscond from + noun"]
absence	noun	formal	["in sb's absence","during sb's absence"]
absence	noun_lack	academic,formal	["the absence of + noun","in the absence of + noun"]
absence	noun_seizure	technical	["an absence seizure","experience an absence"]
absenteeism	noun	business,academic	["reduce absenteeism","rates of absenteeism"]
absolute	adjective	formal	["absolute + noun","with absolute certainty"]
absolute	adjective_power	formal,academic	["absolute + noun","gain absolute power"]
absolute	adjective_measure	technical,academic	["in absolute terms","an absolute + noun"]
absolute	noun	academic,formal	["moral absolutes","treat sth as an absolute"]
absolve	verb	formal,technical	["absolve sb of + noun","absolve sb from + noun"]
absorb	verb	technical,academic	["absorb + noun","be absorbed by + noun"]
absorb	verb_information	academic,neutral	["absorb + noun","time to absorb + noun"]
absorb	verb_attention	neutral,literary	["be absorbed in + noun","absorb sb's attention"]
absorb	verb_cost	business	["absorb + noun","absorb the cost of + noun"]
absorb	verb_integrate	business,formal	["be absorbed into + noun","absorb sth into + noun"]
absorption	noun	technical,academic	["the absorption of + noun","absorption into + noun"]
absorption	noun_attention	formal,literary	["sb's absorption in + noun"]
abstain	verb	formal,technical	["abstain from voting","abstain on + noun"]
abstain	verb_refrain	formal,academic	["abstain from + noun","abstain from + V-ing"]
abstention	noun	formal,technical	["abstention from voting","record an abstention"]
abstention	noun_refrain	formal,academic	["abstention from + noun"]
abstruse	adjective	academic,literary	["an abstruse + noun","abstruse + plural noun"]
absurd	adjective	neutral,spoken	["it is absurd to + V","an absurd + noun"]
absurd	noun	academic,literary	["the absurd","the theatre of the absurd"]
abundance	noun	formal	["an abundance of + noun","in abundance"]
abundance	noun_science	technical,academic	["the relative abundance of + noun","the abundance of + noun"]
abundant	adjective	formal,academic	["abundant + noun","be abundant in + noun"]
abuse	noun	formal,academic	["an abuse of + noun","the abuse of power"]
abuse	noun_harm	formal	["victims of abuse","suffer abuse"]
abuse	noun_words	informal	["verbal abuse","hurl abuse at + sb"]
abuse	verb	formal,academic	["abuse + noun","abuse one's authority"]
abuse	verb_harm	formal	["abuse + sb/sth","be abused by + sb"]
abuse	verb_words	informal,spoken	["abuse + sb","verbally abuse + sb"]
academy	noun	neutral,academic	["train at an academy","the + noun + academy"]
academy	noun_society	formal,academic	["the academy of + noun","be elected to the academy"]
accede	verb	formal,literary	["accede to the throne","accede to + noun"]
accede	verb_agree	formal,business	["accede to + noun","accede to sb's demands"]
accede	verb_treaty	formal,technical	["accede to + noun","accede to a treaty"]
accelerate	verb	neutral,technical	["the + noun + accelerates","accelerate to + noun"]
accelerate	verb_process	academic,business	["accelerate + noun","accelerate the pace of + noun"]
accentuate	verb	formal,academic	["accentuate + noun","accentuate the + noun"]
accentuate	verb_stress	technical,academic	["accentuate + noun","accentuate the final syllable"]
accessible	adjective	neutral,technical	["be accessible to + sb","be accessible by + noun"]
accessible	adjective_understand	academic,neutral	["be accessible to + sb","make sth accessible to + sb"]
accessible	adjective_person	neutral,business	["be accessible to + sb"]
accessory	noun	neutral,business	["a fashion accessory","accessories for + noun"]
