lemma	sense	register	grammarPatterns
depose	verb	formal,academic	["depose sb","be deposed by + noun","depose sb as + noun"]
deposit	noun	business,neutral	["pay a deposit on + noun","a deposit of + noun"]
depression	noun	neutral,technical	["suffer from depression","be diagnosed with depression","slip into depression"]
deprivation	noun	formal,academic	["the deprivation of + noun","suffer deprivation"]
deprive	verb	formal	["deprive sb of sth","be deprived of + noun"]
deputy	noun	business,formal	["deputy + noun","act as deputy for + sb"]
derelict	adjective	formal,literary	["a derelict + noun","stand derelict"]
derelict	noun	formal,literary	["an old derelict","convert a derelict into + noun"]
deride	verb	formal,literary	["deride sb/sth as + noun","be derided for + V-ing"]
derivation	noun	academic,formal	["the derivation of + noun","derivation from + noun"]
derivative	adjective	formal,academic	["be derivative of + noun","a derivative + noun"]
derivative	noun	technical,business	["a derivative of + noun","trade in derivatives"]
descend	verb	formal	["descend from + noun","descend into + noun"]
descendant	noun	formal	["a descendant of + noun","a direct descendant"]
descent	noun	formal	["make a descent","be of + adjective + descent"]
desertion	noun	formal,technical	["the desertion of + noun","be charged with desertion"]
deserve	verb	neutral	["deserve + noun","deserve to + V"]
desiccate	verb	technical,formal	["desiccate + noun","be desiccated before + V-ing"]
designate	verb	formal,business	["designate sb as + noun","designate sth for + noun"]
designate	adjective	formal,business	["the + noun + designate"]
designation	noun	formal,business	["the designation of + noun","receive the designation of + noun"]
designer	noun	neutral,business	["a + adjective + designer","work as a designer"]
desirable	adjective	formal,academic	["a highly desirable + noun","it is desirable to + V","be desirable for + noun"]
desire	noun	formal,literary	["a desire for + noun","a desire to + V"]
desire	verb	formal,literary	["desire + noun","desire to + V"]
despair	noun	formal,literary	["fall into despair","in despair"]
despair	verb	formal,literary	["despair of + V-ing","despair of + noun"]
desperate	adjective	neutral,spoken	["be desperate to + V","be desperate for + noun","a desperate + noun"]
desperately	adverb	neutral,spoken	["desperately want + noun","desperately + adjective"]
dessert	noun	neutral,spoken	["have sth for dessert","a + adjective + dessert"]
destination	noun	neutral,business	["a popular destination","the destination of + noun"]
destiny	noun	literary,formal	["it is one's destiny to + V","fulfill one's destiny"]
destruction	noun	formal,academic	["the destruction of + noun","cause destruction"]
destructive	adjective	formal	["a destructive + noun","be destructive to + noun"]
desultory	adjective	literary,formal	["a desultory + noun"]
detain	verb	formal,technical	["detain sb for + noun","be detained by + noun"]
detect	verb	technical,academic	["detect + noun","detect that + clause"]
detection	noun	technical,academic	["the detection of + noun","early detection of + noun"]
detective	noun	neutral	["a private detective","work as a detective"]
deter	verb	formal,academic	["deter sb from + V-ing","deter + noun"]
determination	noun	formal	["the determination to + V","with determination"]
detest	verb	neutral,spoken	["detest + noun","detest + V-ing"]
detonate	verb	technical	["detonate + noun","be detonated in + noun"]
detour	noun	neutral	["take a detour","a detour around + noun"]
detour	verb	neutral	["detour around + noun","detour via + noun"]
detrimental	adjective	formal,academic	["be detrimental to + noun","have a detrimental effect on + noun"]
devastate	verb	formal	["devastate + noun","be devastated by + noun"]
deviant	adjective	academic,technical	["deviant + noun","sexually deviant"]
deviant	noun	academic,formal	["label sb a deviant","a social deviant"]
device	noun	technical,neutral	["a device for + V-ing","an electronic device"]
devise	verb	formal,technical	["devise a + noun","devise a way to + V"]
devoid	adjective	formal,literary	["be devoid of + noun"]
devolve	verb	formal,technical	["devolve sth to + noun","devolve into + noun"]
devote	verb	formal	["devote sth to + noun","devote oneself to + V-ing"]
devour	verb	neutral,literary	["devour + noun","devour sth in + noun"]
diabetes	noun	technical,neutral	["suffer from diabetes","be diagnosed with diabetes"]
diagnose	verb	technical,formal	["diagnose sb with + noun","be diagnosed as + noun"]
diagnosis	noun	technical,formal	["make a diagnosis","a diagnosis of + noun"]
diagram	noun	academic,technical	["a diagram of + noun","draw a diagram"]
dial	noun	technical,neutral	["turn the dial","the dial on + noun"]
dialect	noun	academic,technical	["a local dialect","speak in dialect"]
diameter	noun	technical,academic	["the diameter of + noun","be + measurement + in diameter"]
dictate	verb	formal,business	["dictate sth to sb","dictate that + clause"]
dictate	noun	formal,literary	["the dictates of + noun","follow the dictates of + noun"]
didactic	adjective	academic,literary	["a didactic + noun","overly didactic"]
diet	noun	neutral,technical	["a balanced diet","be on a diet"]
differentiate	verb	academic,formal	["differentiate between A and B","differentiate A from B"]
digestion	noun	technical,neutral	["aid digestion","the process of digestion"]
dignity	noun	formal,literary	["with dignity","the dignity of + noun"]
dilatory	adjective	formal,literary	["dilatory + plural noun","be dilatory in + V-ing"]
dilemma	noun	formal	["face a dilemma","a dilemma over + noun","be in a dilemma"]
diligence	noun	formal,business	["with diligence","one's diligence in + V-ing"]
dimension	noun	academic,formal	["add a new dimension to + noun","a + adjective + dimension"]
dimension	verb	technical	["dimension a + noun"]
diminish	verb	formal,academic	["diminish + noun","diminish in + noun"]
diminution	noun	formal,academic	["a diminution in + noun","the diminution of + noun"]
dingy	adjective	informal	["a dingy + noun"]
dinosaur	noun	neutral	["dinosaur + noun","the age of the dinosaurs"]
diocesan	adjective	technical,formal	["diocesan + noun"]
diocesan	noun	technical,formal	["the diocesan + verb"]
dioxide	noun	technical,academic	["carbon dioxide","absorb dioxide from + noun"]
diploma	noun	academic,neutral	["a diploma in + noun","earn a diploma"]
diplomacy	noun	formal,academic	["through diplomacy","quiet diplomacy"]
diplomat	noun	formal	["a career diplomat","serve as a diplomat"]
diplomatic	adjective	formal,business	["a diplomatic + noun","be diplomatic about + noun"]
directory	noun	technical,neutral	["look sth up in the directory","a directory of + plural noun"]
disadvantage	noun	formal,academic	["a disadvantage of + noun","be at a disadvantage","put sb at a disadvantage"]
disagreeable	adjective	formal,literary	["a disagreeable + noun","be disagreeable to + sb"]
disagreement	noun	formal	["a disagreement over + noun","be in disagreement with + sb"]
disappointment	noun	neutral	["a disappointment to + sb","to one's disappointment"]
disarm	verb	formal,technical	["disarm + noun","be disarmed by + noun"]
disaster	noun	neutral	["a natural disaster","end in disaster"]
disastrous	adjective	formal	["a disastrous + noun","prove disastrous for + noun"]
discard	verb	formal	["discard + noun","discard sth as + adjective"]
discard	noun	technical,neutral	["sell the discards","a pile of discards"]
disclose	verb	formal,business	["disclose + noun","disclose sth to sb"]
disco	noun	informal,spoken	["go to a disco","a disco + noun"]
discourage	verb	formal	["discourage sb from + V-ing","be discouraged by + noun"]
discourse	noun	academic,formal	["the discourse on + noun","public discourse"]
discourse	verb	formal,literary	["discourse on + noun","discourse at length about + noun"]
discredit	verb	formal,academic	["discredit sb/sth","be discredited by + noun"]
discrete	adjective	academic,technical	["a discrete + noun","discrete + plural noun"]
discretion	noun	formal,business	["at sb's discretion","have the discretion to + V","use discretion"]
discriminate	verb	formal,academic	["discriminate against + noun","discriminate between A and B"]
discrimination	noun	formal,academic	["discrimination against + noun","face discrimination"]
discriminatory	adjective	formal,academic	["a discriminatory + noun","be discriminatory towards + noun"]
discursive	adjective	academic,literary	["a discursive + noun"]
disdain	noun	formal,literary	["with disdain","disdain for + noun"]
disdain	verb	formal,literary	["disdain + noun","disdain to + V"]
disengage	verb	formal,technical	["disengage sth from sth","disengage from + noun"]
disentangle	verb	formal,literary	["disentangle sth from sth","disentangle + noun"]
disguise	noun	neutral,literary	["in disguise","wear a disguise"]
disguise	verb	formal	["disguise + noun","disguise oneself as + noun"]
disillusion	noun	formal,literary	["disillusion with + noun","growing disillusion among + plural noun"]
disillusion	verb	formal,literary	["disillusion sb about + noun","become disillusioned with + noun"]
disinterested	adjective	formal,academic	["a disinterested + noun","remain disinterested"]
dislodge	verb	formal,technical	["dislodge sth from + noun","dislodge + noun"]
dismal	adjective	neutral,literary	["a dismal + noun","look dismal"]
disparage	verb	formal,literary	["disparage sb/sth","publicly disparage + noun"]
disparate	adjective	academic,formal	["disparate + plural noun","a disparate group of + plural noun"]
dispassionate	adjective	formal,academic	["a dispassionate + noun","remain dispassionate about + noun"]
dispel	verb	formal,academic	["dispel + noun","dispel any doubts about + noun"]
disperse	verb	formal,technical	["disperse + noun","disperse across + noun"]
display	noun	neutral,business	["on display","a display of + noun"]
disposable	adjective	neutral,business	["a disposable + noun","disposable income"]
disposal	noun	formal,technical	["the disposal of + noun","at sb's disposal"]
dispose	verb	formal,technical	["dispose of + noun","be disposed to + V"]
disposition	noun	formal,academic	["a + adjective + disposition","a disposition toward + noun"]
disprove	verb	academic,formal	["disprove + noun","disprove that + clause"]
dispute	noun	formal,business	["a dispute over + noun","a dispute between A and B","be in dispute"]
