lemma	sense	register	grammarPatterns
ridiculous	adjective	informal	["it is ridiculous to + V","a ridiculous + noun","sound ridiculous"]
rife	adjective	formal	["be rife with + noun","be rife among + plural noun"]
rifle	noun	neutral,technical	["fire a rifle","aim a rifle at + noun"]
rigid	adjective	formal	["a rigid + noun","be rigid about + noun"]
rigorous	adjective	academic,formal	["rigorous + noun","subject sth to rigorous + noun"]
riot	noun	neutral	["a riot breaks out","quell a riot","riot + noun"]
ripe	adjective	neutral	["a ripe + noun","be ripe for + noun"]
ripen	verb	neutral	["let sth ripen","ripen + noun","ripen in + noun"]
ripple	noun	neutral,literary	["a ripple of + noun","send ripples through + noun","create ripples across + noun"]
risky	adjective	informal	["a risky + noun","it is risky to + V","be risky for + sb"]
ritual	noun	neutral,academic	["perform a ritual","a daily ritual","part of a ritual"]
rival	noun	neutral,business	["a fierce rival","a rival of + noun","be rivals for + noun"]
rivet	verb	literary,neutral	["be riveted by + noun","rivet sb's attention","rivet A to B"]
roam	verb	neutral,literary	["roam + noun","roam freely","roam across + noun"]
roar	noun	neutral,literary	["the roar of + noun","let out a roar","a deafening roar"]
robe	noun	formal	["wear a robe","a ceremonial robe"]
rocky	adjective	informal	["a rocky + noun","get off to a rocky start","go through a rocky patch"]
romance	noun	neutral,literary	["a romance with + sb","a romance between A and B","a whirlwind romance"]
roof	noun	neutral	["the roof of + noun","under one roof","repair a roof"]
rookie	noun	informal,spoken	["a rookie + noun","a rookie mistake"]
rosy	adjective	informal	["a rosy + noun","paint a rosy picture of + noun","be rosy about + noun"]
rotate	verb	technical,neutral	["rotate around + noun","rotate + noun","rotate on + noun"]
rotation	noun	technical,neutral	["the rotation of + noun","in rotation","on a rotation basis"]
rough	adjective	informal	["a rough + noun","rough to the touch","have a rough time"]
roughly	adverb	neutral,spoken	["roughly + number","roughly speaking","handle sth roughly"]
rout	noun	formal	["end in a rout","a complete rout"]
routine	noun	neutral,business	["a daily routine","part of sb's routine","get into a routine"]
routinely	adverb	formal	["be routinely + past participle","routinely + verb"]
rove	verb	literary,formal	["rove across + noun","rove over + noun"]
rowdy	adjective	informal,spoken	["a rowdy + noun","get rowdy"]
royalty	noun	neutral,business	["receive royalties from + noun","pay royalties to + sb","a member of royalty"]
ruffle	verb	informal	["ruffle + noun","ruffle sb's feathers","the wind ruffles + noun"]
ruin	noun	literary,neutral	["lie in ruins","fall into ruin","the ruins of + noun"]
rumble	noun	neutral,literary	["the rumble of + noun","a distant rumble"]
rumor	noun	informal,spoken	["a rumor that + clause","spread a rumor","rumor has it that + clause"]
rural	adjective	neutral,academic	["rural + noun","in rural + noun"]
rustle	verb	literary,neutral	["rustle in + noun","leaves rustle"]
sabotage	noun	formal	["an act of sabotage","suspect sabotage","the sabotage of + noun"]
sack	noun	neutral	["a sack of + noun","fill a sack with + noun"]
sacred	adjective	formal,literary	["a sacred + noun","be sacred to + sb","hold sth sacred"]
sacrifice	noun	formal	["make a sacrifice","a sacrifice for + noun","at the sacrifice of + noun"]
sadden	verb	formal,literary	["be saddened by + noun","it saddens sb to + V"]
saddle	noun	neutral	["in the saddle","adjust the saddle"]
sadistic	adjective	formal,literary	["a sadistic + noun","take a sadistic pleasure in + V-ing"]
safeguard	verb	formal,business	["safeguard + noun","safeguard sb against + noun","safeguard sth from + noun"]
sage	noun	literary,formal	["a wise sage","be regarded as a sage"]
sake	noun	formal	["for the sake of + noun","for sb's sake","for the sake of + V-ing"]
salmon	noun	neutral	["smoked salmon","catch salmon"]
salutary	adjective	formal,academic	["a salutary lesson","have a salutary effect on + noun"]
salute	verb	formal	["salute + noun","stand and salute","salute sb as + noun"]
salvage	noun	technical,formal	["a salvage operation","the salvage of + noun"]
sample	noun	technical,academic	["a sample of + noun","take a sample","a random sample"]
sanction	noun	formal,business	["impose sanctions on + noun","economic sanctions against + noun","lift sanctions"]
sanctuary	noun	formal	["a sanctuary for + noun","seek sanctuary in + noun","a wildlife sanctuary"]
sandy	adjective	neutral	["a sandy beach","sandy + noun"]
sane	adjective	informal	["stay sane","a sane + noun"]
sanguine	adjective	formal,literary	["be sanguine about + noun","remain sanguine"]
sarcastic	adjective	informal,spoken	["a sarcastic + noun","be sarcastic about + noun"]
sardonic	adjective	literary,formal	["a sardonic + noun","with sardonic amusement"]
satellite	noun	technical,neutral	["launch a satellite","a satellite orbits + noun","via satellite"]
satisfaction	noun	formal	["a sense of satisfaction","satisfaction with + noun","to sb's satisfaction"]
satisfactory	adjective	formal,business	["a satisfactory + noun","be satisfactory to + sb"]
savvy	noun	informal,business	["business savvy","have the savvy to + V"]
scan	verb	neutral,technical	["scan + noun","scan sth for + noun","scan through + noun"]
scandal	noun	formal	["a corruption scandal","be involved in a scandal","a scandal breaks"]
scant	verb	formal,academic	["scant + noun"]
scar	noun	neutral,literary	["leave a scar on + noun","a scar from + noun","bear the scars of + noun"]
scarcely	adverb	formal,literary	["scarcely + verb","had scarcely + past participle + when + clause","scarcely any + noun"]
scarcity	noun	academic,formal	["a scarcity of + noun","lead to a scarcity of + noun"]
scare	noun	informal	["a health scare","give sb a scare","a scare over + noun"]
scathing	adjective	formal,literary	["a scathing + noun","be scathing about + noun","scathing criticism of + noun"]
scatter	verb	neutral	["scatter + noun","scatter sth over + noun","the crowd scatters"]
scenario	noun	academic,business	["a possible scenario","a worst-case scenario","in this scenario"]
scenery	noun	neutral	["beautiful scenery","admire the scenery","a change of scenery"]
scent	noun	neutral,literary	["the scent of + noun","pick up a scent","a faint scent"]
schedule	noun	neutral,business	["a busy schedule","ahead of schedule","on schedule"]
scholar	noun	academic,formal	["a scholar of + noun","a leading scholar","scholars argue that + clause"]
scholarly	adjective	academic,formal	["a scholarly + noun","a scholarly approach to + noun"]
scholarship	noun	academic,neutral	["win a scholarship","a scholarship to + noun","a full scholarship"]
scoop	noun	informal	["get a scoop on + noun","an exclusive scoop"]
scope	noun	academic,formal	["the scope of + noun","beyond the scope of + noun","broaden the scope of + noun"]
scorch	verb	neutral	["scorch + noun","be scorched by + noun"]
scorn	noun	formal,literary	["pour scorn on + noun","with scorn","scorn for + noun"]
