lemma	sense	register	grammarPatterns
marital	adjective	formal	["marital + noun","one's marital status"]
maroon	sense_verb	neutral,literary	["be marooned on + noun","maroon sb on + noun"]
maroon	sense_color	neutral	["a deep maroon","be painted maroon"]
marsh	noun	neutral,technical	["a salt marsh","in the marsh"]
marshal	sense_verb	formal	["marshal + noun","marshal one's arguments"]
marshal	sense_noun	formal,technical	["a fire marshal","the marshal of + noun"]
martyr	sense_noun	formal,literary	["a martyr for + noun","die a martyr"]
martyr	sense_verb	formal,literary	["be martyred for + noun","martyr + somebody"]
mask	sense_noun	neutral	["wear a mask","a mask over + noun"]
mask	sense_verb	formal	["mask + noun","mask sth with + noun"]
masquerade	sense_noun	formal,literary	["a masquerade for + noun","be just a masquerade"]
masquerade	sense_verb	formal	["masquerade as + noun","masquerade as sb"]
mass	sense_physics	technical,academic	["the mass of + noun","mass and weight"]
mass	sense_large_amount	neutral	["a mass of + noun","masses of + noun"]
massacre	verb	formal	["massacre + noun","be massacred by + noun"]
massive	adjective	informal	["a massive + noun","massive in + noun"]
mate	sense_partner	informal	["choose a mate","stay with the same mate"]
mate	sense_officer	technical	["the first mate","a mate on + noun"]
materialize	verb	formal	["sth never materialized","fail to materialize"]
matrix	noun	academic,technical	["a matrix of + noun","within the matrix of + noun"]
mattress	noun	neutral	["a firm mattress","sleep on a mattress"]
mature	sense_adjective	formal	["a mature + noun","mature for one's age"]
mature	sense_verb	formal,business	["mature into + noun","the bond matures in + noun"]
maturity	noun	formal,business	["reach maturity","at maturity"]
mauve	sense_noun	neutral	["a soft mauve","be painted mauve"]
mauve	sense_adjective	neutral	["a mauve + noun"]
maximize	verb	formal,business	["maximize + noun","maximize the potential of + noun"]
maximum	noun	neutral,technical	["a maximum of + noun","reach the maximum"]
meadow	noun	neutral,literary	["in the meadow","a meadow of + noun"]
meager	adjective	formal,literary	["a meager + noun","survive on meager + noun"]
meaningful	adjective	neutral,academic	["a meaningful + noun","meaningful to + somebody"]
mechanical	adjective	technical,neutral	["a mechanical + noun","mechanical failure"]
mechanism	noun	academic,technical	["a mechanism for + V-ing","the mechanism by which + clause"]
medal	noun	neutral	["win a medal","a gold medal in + noun"]
mediate	verb	formal	["mediate between A and B","mediate + noun"]
medieval	adjective	academic,formal	["medieval + noun","in medieval times"]
meditate	verb	neutral	["meditate on + noun","meditate for + noun"]
meditation	noun	formal	["practice meditation","meditation on + noun"]
meek	adjective	literary,formal	["too meek to + V","a meek + noun"]
melancholy	sense_noun	literary,formal	["a deep melancholy","a melancholy settled over + somebody"]
melancholy	sense_adjective	literary	["a melancholy + noun","a melancholy tone"]
meld	verb	formal,literary	["meld A with B","meld A and B into + noun"]
melody	noun	neutral	["play a melody","the melody of + noun"]
membrane	noun	technical,academic	["the membrane of + noun","pass through the membrane"]
memo	noun	business,informal	["send a memo","a memo about + noun"]
memoir	noun	literary,formal	["publish a memoir","a memoir about + noun"]
memorable	adjective	neutral	["a memorable + noun","memorable for + noun"]
memorandum	noun	formal,business	["a memorandum of understanding","issue a memorandum"]
memorial	noun	formal	["a memorial to + somebody","build a memorial"]
mendacious	adjective	formal,literary	["a mendacious + noun","mendacious claims"]
mental	adjective	neutral,academic	["mental health","a mental + noun"]
mentality	noun	neutral,academic	["a competitive mentality","adopt a mentality"]
mentor	noun	neutral,business	["sb's mentor","act as a mentor to + somebody"]
mercenary	sense_noun	technical,neutral	["hire mercenaries","a mercenary fighting for + noun"]
mercenary	sense_adjective	formal	["a mercenary + noun","mercenary motives"]
merchant	noun	business,neutral	["a merchant of + noun","a wealthy merchant"]
mercurial	adjective	formal,literary	["a mercurial + noun","a mercurial temper"]
mercy	noun	formal,literary	["show mercy to + somebody","have mercy on + somebody"]
