lemma	sense	register	grammarPatterns
circumspect	adjective	formal,academic	["be circumspect about + noun","a circumspect + noun","circumspect in + V-ing"]
circumstantial	adjective	formal,technical	["circumstantial evidence","purely circumstantial","a circumstantial + noun"]
circus	noun	neutral	["go to the circus","a traveling circus","perform in a circus"]
citation	noun	academic,formal	["a citation from + noun","include citations in + noun","receive a citation for + noun"]
cite	verb	academic,formal	["cite + noun","cite sth as + noun","be cited for + noun"]
citizenship	noun	formal,academic	["apply for citizenship","grant sb citizenship","dual citizenship"]
civic	adjective	formal,academic	["civic + noun","a civic duty","civic pride"]
civilian	noun	formal	["innocent civilians","a civilian killed in + noun","civilians and soldiers"]
civilian	adjective	formal	["civilian + noun","in civilian life","civilian casualties"]
civility	noun	formal,literary	["treat sb with civility","a lack of civility","common civility"]
civilization	noun	academic,formal	["an ancient civilization","the rise of + noun + civilization","the collapse of a civilization"]
clamor	noun	literary,formal	["a clamor of + noun","the clamor for + noun","amid the clamor"]
clamor	verb	formal	["clamor for + noun","clamor to + V"]
clamp	noun	technical,neutral	["tighten the clamp","hold sth with a clamp","a metal clamp"]
clamp	verb	technical,neutral	["clamp A to B","clamp sth in place","clamp sth together"]
clan	noun	neutral,academic	["belong to a clan","the head of the clan","rival clans"]
clarify	verb	formal,academic	["clarify + noun","clarify that + clause","clarify what/how + clause"]
clarity	noun	formal,academic	["the clarity of + noun","with great clarity","a lack of clarity"]
clash	noun	formal	["a clash between A and B","a clash with + noun","a clash of + noun"]
clash	verb	neutral	["clash with + noun","clash over + noun","A and B clash"]
classification	noun	academic,technical	["the classification of + noun","a classification system","fall into a classification"]
classify	verb	academic,technical	["classify A as B","classify sth into + noun","be classified as + noun"]
clause	noun	technical,academic	["a clause in + noun","under this clause","a relative clause"]
clay	noun	neutral,technical	["be made of clay","shape the clay","a clay + noun"]
clearance	noun	formal,business	["security clearance","obtain clearance for + noun","give sb clearance to + V"]
clement	adjective	formal,literary	["clement weather","unusually clement"]
clench	verb	neutral	["clench one's fists","clench one's teeth","clench sth tightly"]
clerk	noun	neutral,business	["a clerk at + noun","work as a clerk","ask the clerk for + noun"]
click	noun	technical,neutral	["with a click","a single click","the click of + noun"]
click	verb	technical,neutral	["click on + noun","click + noun","the lock clicked shut"]
cliff	noun	neutral	["a steep cliff","at the top of the cliff","fall off a cliff"]
climate	noun	academic,neutral	["a + adjective + climate","the climate of + noun","in the current climate"]
clinch	verb	informal,business	["clinch a deal","clinch victory","clinch + noun"]
cling	verb	neutral,literary	["cling to + noun","cling on to + noun","cling together"]
clinic	noun	neutral,technical	["go to a clinic","at the clinic","a + noun + clinic"]
clinical	adjective	technical,academic	["clinical + noun","a clinical trial","a clinical tone"]
clip	noun	neutral	["a paper clip","a clip of + noun","a short video clip"]
clog	noun	neutral,technical	["a clog in + noun","clear a clog","wear clogs"]
clog	verb	neutral	["clog + noun","clog sth up","be clogged with + noun"]
closet	noun	neutral	["in the closet","a walk-in closet","hang sth in the closet"]
closure	noun	formal,business	["the closure of + noun","bring closure to + noun","a sense of closure"]
clot	noun	technical,neutral	["a blood clot","form a clot","a clot in + noun"]
clout	noun	informal,business	["have clout","political clout","carry clout with + noun"]
clue	noun	neutral	["a clue to + noun","find a clue","give sb a clue"]
clumsy	adjective	informal	["a clumsy + noun","be clumsy with + noun","clumsy at + V-ing"]
cluster	verb	academic,technical	["cluster around + noun","cluster together","cluster in + noun"]
clutch	noun	neutral,technical	["release the clutch","a tight clutch on + noun","in sb's clutches"]
coalesce	verb	formal,academic	["coalesce into + noun","coalesce around + noun","A and B coalesce"]
coalition	noun	formal,academic	["a coalition of + noun","form a coalition","a coalition government"]
coastal	adjective	neutral,technical	["coastal + noun","coastal erosion","a coastal town"]
coax	verb	informal	["coax sb into + V-ing","coax sb to + V","coax sth out of sb"]
cocaine	noun	technical,neutral	["possession of cocaine","use cocaine","a cocaine addiction"]
cocktail	noun	neutral	["order a cocktail","a cocktail of + noun","a cocktail party"]
codify	verb	formal,academic	["codify + noun","codify sth into law","be codified in + noun"]
coerce	verb	formal,academic	["coerce sb into + V-ing","coerce sb to + V","be coerced by + noun"]
cognitive	adjective	academic,technical	["cognitive + noun","cognitive ability","cognitive development"]
cohesion	noun	academic,formal	["social cohesion","a lack of cohesion","cohesion between A and B"]
cohesive	adjective	academic,formal	["a cohesive + noun","a cohesive whole","be cohesive"]
coincide	verb	formal,academic	["coincide with + noun","A and B coincide"]
coincidence	noun	neutral	["by coincidence","a mere coincidence","it is no coincidence that + clause"]
collaboration	noun	academic,business	["collaboration with + noun","in collaboration with + noun","close collaboration between A and B"]
collapse	noun	formal	["the collapse of + noun","on the verge of collapse","a total collapse"]
collapse	verb	neutral	["collapse under + noun","collapse into + noun","the + noun + collapsed"]
collar	noun	neutral	["a shirt collar","turn up one's collar","grab sb by the collar"]
collate	verb	formal,business	["collate + noun","collate data from + noun","collate the results"]
collective	adjective	academic,formal	["collective + noun","a collective effort","collective responsibility"]
collision	noun	neutral,technical	["a collision between A and B","a collision with + noun","on a collision course"]
