lemma	sense	register	grammarPatterns
humor	noun	informal	["a sense of humor","find humor in + noun"]
hunch	noun	informal,spoken	["have a hunch that + clause","a hunch about + noun"]
hunch	verb	neutral	["hunch over + noun","hunch one's shoulders","hunch forward"]
hunger	noun	formal	["hunger for + noun","suffer from hunger"]
hunger	verb	literary,formal	["hunger for + noun","hunger after + noun"]
hurricane	noun	neutral,technical	["a hurricane hits + noun","in the path of a hurricane"]
hush	noun	literary,neutral	["a hush falls over + noun","a sudden hush"]
hush	verb	informal	["hush up + noun","hush sb up"]
husk	noun	neutral,technical	["the husk of + noun","remove the husk"]
husk	verb	technical,neutral	["husk + noun"]
husky	noun	neutral	["a team of huskies","a husky pulls + noun"]
husky	adjective	informal,spoken	["a husky voice","husky + noun"]
hydrogen	noun	technical,academic	["hydrogen + noun","produce hydrogen from + noun"]
hygiene	noun	neutral,technical	["personal hygiene","maintain good hygiene"]
hypertension	noun	technical,academic	["suffer from hypertension","treat hypertension"]
hypnotic	adjective	literary,neutral	["a hypnotic + noun","have a hypnotic effect on + noun"]
hypocritical	adjective	formal	["it is hypocritical to + V","hypocritical of sb to + V"]
hypothesis	noun	academic,technical	["test a hypothesis","the hypothesis that + clause","support a hypothesis"]
icon	noun	neutral,technical	["click on the icon","an icon of + noun","a cultural icon"]
iconoclast	noun	formal,literary	["be regarded as an iconoclast","an iconoclast who + clause"]
ideal	adjective	formal	["be ideal for + noun","the ideal + noun"]
ideal	noun	formal,academic	["the ideal of + noun","live up to an ideal","fall short of the ideal"]
identical	adjective	neutral,academic	["be identical to + noun","identical with + noun","virtually identical"]
identification	noun	formal,technical	["the identification of + noun","produce identification","photo identification"]
ideological	adjective	academic,formal	["ideological + noun","ideological differences between A and B"]
ideology	noun	academic,formal	["a political ideology","the ideology of + noun"]
idiot	noun	informal,spoken	["feel like an idiot","call sb an idiot"]
ignominious	adjective	formal,literary	["an ignominious + noun","suffer an ignominious defeat"]
ignorance	noun	formal	["ignorance of + noun","out of ignorance","ignorance about + noun"]
illegal	adjective	formal	["it is illegal to + V","illegal + noun"]
illegitimate	adjective	formal,technical	["an illegitimate + noun","be condemned as illegitimate"]
illicit	adjective	formal	["illicit + noun","the illicit trade in + noun"]
illiterate	adjective	formal	["remain illiterate","functionally illiterate"]
illiterate	noun	formal,academic	["the number of illiterates in + noun"]
illuminate	verb	formal,academic	["illuminate + noun","illuminate how/why + clause"]
illusion	noun	formal	["be under the illusion that + clause","create an illusion of + noun"]
illusory	adjective	formal,literary	["prove illusory","an illusory + noun"]
illustrate	verb	academic,neutral	["illustrate + noun","illustrate how + clause","illustrate sth with + noun"]
illustration	noun	neutral,academic	["an illustration of + noun","by way of illustration"]
illustrious	adjective	formal,literary	["an illustrious + noun","an illustrious career in + noun"]
imagery	noun	literary,academic	["the imagery of + noun","be rich in imagery"]
imaginative	adjective	neutral	["an imaginative + noun","highly imaginative"]
imbue	verb	formal,literary	["imbue sth with + noun","be imbued with + noun"]
imitate	verb	neutral	["imitate + noun","imitate sb's + noun"]
immaculate	adjective	formal	["in immaculate condition","an immaculate + noun"]
immediate	adjective	formal	["immediate + noun","with immediate effect"]
immense	adjective	formal	["an immense + noun","an immense amount of + noun"]
immerse	verb	formal	["immerse oneself in + noun","immerse sth in + noun"]
immigrant	noun	neutral	["an immigrant from + noun","the immigrant population"]
immigration	noun	formal	["immigration + noun","go through immigration"]
imminent	adjective	formal	["an imminent + noun","be imminent"]
immune	adjective	technical,neutral	["be immune to + noun","be immune from + noun"]
immune	noun	technical,academic	["study immunes"]
impart	verb	formal	["impart sth to sb","impart + noun"]
impassioned	adjective	formal,literary	["an impassioned + noun","give an impassioned speech about + noun"]
impassive	adjective	formal,literary	["an impassive + noun","remain impassive"]
impeach	verb	formal,technical	["impeach sb","vote to impeach sb"]
impede	verb	formal,academic	["impede + noun","impede sb from + V-ing"]
impenetrable	adjective	formal,literary	["an impenetrable + noun","be impenetrable to + noun"]
imperative	adjective	formal,academic	["it is imperative that + clause","it is imperative to + V"]
imperative	noun	formal,academic	["a moral imperative","an imperative to + V"]
imperial	adjective	formal,academic	["imperial + noun","the imperial era"]
imperial	noun	technical	["measurements in imperial","convert to imperial"]
impervious	adjective	formal,technical	["be impervious to + noun","an impervious + noun"]
impinge	verb	formal,academic	["impinge on + noun","impinge upon + noun"]
implausible	adjective	formal,academic	["an implausible + noun","seem implausible","highly implausible"]
implication	noun	academic,formal	["the implications of + noun","have implications for + noun"]
implore	verb	literary,formal	["implore sb to + V","implore sb not to + V"]
impose	verb	formal,business	["impose sth on + noun","impose a tax on + noun"]
impression	noun	neutral	["make a good impression on sb","the impression that + clause","give the impression of + V-ing"]
impressive	adjective	neutral	["an impressive + noun","truly impressive"]
imprisonment	noun	formal,technical	["be sentenced to imprisonment","life imprisonment"]
improvise	verb	neutral	["improvise + noun","have to improvise"]
impulse	noun	neutral	["on impulse","an impulse to + V","resist the impulse to + V"]
impulsive	adjective	neutral	["an impulsive + noun","be impulsive"]
impunity	noun	formal,academic	["with impunity","act with impunity"]
inability	noun	formal,academic	["the inability to + V","sb's inability to + V"]
inadequate	adjective	formal,academic	["be inadequate for + noun","prove inadequate","woefully inadequate"]
inanimate	adjective	academic,technical	["an inanimate + noun","inanimate objects"]
inappropriate	adjective	formal	["be inappropriate for + noun","it is inappropriate to + V"]
inaugural	adjective	formal	["the inaugural + noun","an inaugural address"]
incarcerate	verb	formal,technical	["incarcerate sb","be incarcerated for + noun"]
incentive	noun	business,formal	["an incentive to + V","offer incentives for + noun","financial incentives"]
inception	noun	formal,business	["since its inception","at the inception of + noun"]
incessant	adjective	formal,literary	["incessant + noun","almost incessant"]
inchoate	adjective	formal,academic	["an inchoate + noun","still inchoate"]
incidence	noun	academic,technical	["the incidence of + noun","a high incidence of + noun"]
incident	noun	formal	["an incident at + noun","investigate an incident","without incident"]
incident	adjective	formal,technical	["be incident to + noun","the risks incident to + noun"]
incidentally	adverb	spoken,informal	["Incidentally, + clause"]
incipient	adjective	formal,academic	["an incipient + noun","signs of an incipient + noun"]
incision	noun	technical,academic	["make an incision","a small incision in + noun"]
inclusive	adjective	formal	["an inclusive + noun","be inclusive of + noun"]
incoming	adjective	neutral,business	["incoming + noun"]
incompetent	adjective	formal	["an incompetent + noun","be seen as incompetent"]
incompetent	noun	informal	["a complete incompetent","be an incompetent"]
incongruous	adjective	formal,literary	["look incongruous","be incongruous with + noun","an incongruous + noun"]
incorporate	verb	formal,business	["incorporate A into B","incorporate + noun"]
incorporate	adjective	formal,technical	["be incorporate under + noun"]
incredible	adjective	informal,spoken	["an incredible + noun","absolutely incredible"]
incredulity	noun	formal,literary	["with incredulity","a look of incredulity"]
increment	noun	technical,business	["in small increments","an increment of + noun"]
incubation	noun	technical,academic	["the incubation period","the incubation of + noun"]
incur	verb	formal,business	["incur + noun","incur the cost of + noun"]
indebted	adjective	formal	["be indebted to sb for + noun","be deeply indebted to sb"]
indefatigable	adjective	formal,literary	["an indefatigable + noun","an indefatigable advocate for + noun"]
indelible	adjective	formal,literary	["leave an indelible impression on sb","an indelible + noun"]
indeterminate	adjective	formal,academic	["an indeterminate + noun","of indeterminate + noun"]
indicative	adjective	formal,academic	["be indicative of + noun"]
indicator	noun	academic,technical	["an indicator of + noun","a key indicator"]
indictment	noun	formal,technical	["an indictment of + noun","a damning indictment of + noun"]
indigenous	adjective	academic,formal	["be indigenous to + noun","indigenous + noun"]
indignation	noun	formal,literary	["express indignation at + noun","with indignation"]
indignity	noun	formal	["suffer the indignity of + V-ing","the indignity of + noun"]
induce	verb	formal,academic	["induce sb to + V","induce + noun"]
induct	verb	formal	["be inducted into + noun","induct sb into + noun"]
indulge	verb	informal	["indulge in + noun","indulge oneself","indulge sb"]
ineffectual	adjective	formal	["prove ineffectual","an ineffectual + noun"]
ineligible	adjective	formal,technical	["be ineligible for + noun","be ineligible to + V"]
inept	adjective	formal	["be inept at + V-ing","an inept + noun"]
inequity	noun	academic,formal	["the inequity of + noun","inequity in + noun"]
inevitable	adjective	formal	["it is inevitable that + clause","seem inevitable"]
inevitably	adverb	formal,academic	["Inevitably, + clause","inevitably lead to + noun"]
inexorable	adjective	formal,literary	["the inexorable rise of + noun","an inexorable + noun"]
inexplicable	adjective	formal	["for some inexplicable reason","seem inexplicable"]
infant	noun	neutral,technical	["a newborn infant","infant + noun"]
infect	verb	technical,neutral	["become infected","infect sb with + noun","be infected by + noun"]
infection	noun	technical,neutral	["develop an infection","treat an infection"]
inference	noun	academic,formal	["draw an inference from + noun","the inference that + clause"]
inferior	adjective	formal	["be inferior to + noun","an inferior + noun"]
inferior	noun	formal	["treat sb as an inferior","sb's inferiors"]
infinite	adjective	academic,formal	["an infinite number of + noun","be infinite in + noun"]
infinity	noun	academic,technical	["the concept of infinity","approach infinity"]
inflame	verb	formal,literary	["inflame + noun","inflame tensions between A and B"]
inflammation	noun	technical,academic	["inflammation of + noun","reduce inflammation"]
inflate	verb	neutral,business	["inflate + noun","inflate sth with air"]
inflation	noun	business,academic	["rising inflation","the rate of inflation","curb inflation"]
inflict	verb	formal	["inflict sth on sb/sth","inflict damage on + noun"]
influential	adjective	formal	["an influential + noun","be influential in + V-ing"]
informal	adjective	neutral	["an informal + noun","in an informal setting"]
infraction	noun	formal,technical	["a minor infraction","an infraction of + noun"]
infuriate	verb	informal	["infuriate sb","it infuriates sb that + clause"]
infuse	verb	formal,technical	["infuse sth with + noun","be infused with + noun"]
ingenious	adjective	formal	["an ingenious + noun","an ingenious solution to + noun"]
ingenuity	noun	formal,academic	["human ingenuity","the ingenuity of + noun"]
ingenuous	adjective	formal,literary	["an ingenuous + noun","seem ingenuous"]
ingredient	noun	neutral	["the main ingredient in + noun","a key ingredient of + noun"]
inhabit	verb	formal,academic	["inhabit + noun","be inhabited by + noun"]
inhabitant	noun	formal,academic	["the inhabitants of + noun","a thousand inhabitants"]
inherit	verb	formal	["inherit sth from sb","inherit + noun"]
inheritance	noun	formal	["receive an inheritance","an inheritance from sb"]
inhibit	verb	academic,technical	["inhibit + noun","inhibit sb from + V-ing"]
initial	adjective	neutral,academic	["the initial + noun","sb's initial reaction to + noun"]
initial	noun	neutral	["sb's initials"]
initial	verb	formal,business	["initial + noun","initial each page of + noun"]
initially	adverb	neutral,academic	["Initially, + clause"]
initiate	verb	formal,business	["initiate + noun","initiate proceedings against sb","initiate sb into + noun"]
initiate	noun	formal	["an initiate into + noun"]
initiative	noun	business,formal	["launch an initiative","take the initiative","an initiative to + V"]
initiative	adjective	formal	["an initiative + noun"]
inject	verb	technical,neutral	["inject sth into + noun","inject sb with + noun"]
injection	noun	technical,neutral	["give sb an injection","an injection of + noun"]
